,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Prosody,Morphemes,asjp_forms,asjp_segs
912,Chengdu-Liu-2007-201-123-1,,Chengdu,Liu-2007-201-123,suei⁵³,suei⁵³,s w ei ⁵³,,Liu2007,,,,,i m n t,,s w ei , ei s w
913,Nanjing-Liu-2007-201-123-1,,Nanjing,Liu-2007-201-123,suei¹¹,suei¹¹,s w ei ¹¹,,Liu2007,,,,,i m n t,,s w ei , ei s w
914,Jixi-Liu-2007-201-123-1,,Jixi,Liu-2007-201-123,ɕy²¹³,ɕy²¹³,ɕ y ²¹³,,Liu2007,,,,,i n t,,S i , S i
915,Suzhou-Liu-2007-201-123-1,,Suzhou,Liu-2007-201-123,sʯ⁵²,sʯ⁵²,s ʯ ⁵²,,Liu2007,,,,,i n t,,s , s
916,Wenzhou-Liu-2007-201-123-1,,Wenzhou,Liu-2007-201-123,sɿ²⁴,sɿ²⁴,s ɿ ²⁴,,Liu2007,,,,,i n t,,s , s
917,Changsha-Liu-2007-201-123-1,,Changsha,Liu-2007-201-123,ɕyei⁴¹,ɕyei⁴¹,ɕ ɥ ei ⁴¹,,Liu2007,,,,,i m n t,,S y ei , S ei y
918,Loudi-Liu-2007-201-123-1,,Loudi,Liu-2007-201-123,ɕy⁴²,ɕy⁴²,ɕ y ⁴²,,Liu2007,,,,,i n t,,S i , S i
919,Nanchang-Liu-2007-201-123-1,,Nanchang,Liu-2007-201-123,sui²¹³,sui²¹³,s w i ²¹³,,Liu2007,,,,,i m n t,,s w i , i s w
920,Meixian-Liu-2007-201-123-1,,Meixian,Liu-2007-201-123,sui³¹,sui³¹,s w i ³¹,,Liu2007,,,,,i m n t,,s w i , i s w
921,Guilin-Liu-2007-201-123-1,,Guilin,Liu-2007-201-123,suei²³,suei²³,s w ei ²³,,Liu2007,,,,,i m n t,,s w ei , ei s w
922,Guangzhou-Liu-2007-201-123-1,,Guangzhou,Liu-2007-201-123,søy³⁵,søy³⁵,s øy ³⁵,,Liu2007,,,,,i n t,,s ei , ei s
923,Fuzhou-Liu-2007-201-123-1,,Fuzhou,Liu-2007-201-123,tsuoi³²,tsuoi³²,ts w oi ³²,,Liu2007,,,,,i m n t,,ts w oi , oi ts w
924,Xiamen-Liu-2007-201-123-1,,Xiamen,Liu-2007-201-123,tsui⁵³,tsui⁵³,ts w i ⁵³,,Liu2007,,,,,i m n t,,ts w i , i ts w
925,Beijing-Liu-2007-201-124-1,,Beijing,Liu-2007-201-124,ʂuei²¹⁴⁻³⁵ kuo²¹³,ʂuei²¹⁴⁻³⁵ kuo²¹³,ʂ w ei ²¹⁴ + k w o ²¹³,,Liu2007,,,,,i m n t + i m n t,,S w ei   k w o , S ei k o w
926,Haerbin-Liu-2007-201-124-1,,Haerbin,Liu-2007-201-124,ʂuei²¹³⁻²⁴ kuor²¹³,ʂuei²¹³⁻²⁴ kuor²¹³,ʂ w ei ²¹³ + k w o ²¹³,,Liu2007,,,,,i m n t + i m n t,,S w ei   k w o , S ei k o w
927,Jinan-Liu-2007-201-124-1,,Jinan,Liu-2007-201-124,ʂuei⁴⁵⁻⁵³ kuɤ⁴⁵,ʂuei⁴⁵⁻⁵³ kuɤ⁴⁵,ʂ w ei ⁴⁵ + k w ɤ ⁴⁵,,Liu2007,,,,,i m n t + i m n t,,S w ei   k w o , S ei k o w
928,Rongcheng-Liu-2007-201-124-1,,Rongcheng,Liu-2007-201-124,kɔr²¹³ mən⁰,kɔr²¹³ mən⁰,k ɔ ²¹³ + m ə n ⁰,,Liu2007,,,,,i n t + i n c t,,k o   m 3 n , 3 k m n o
929,Taiyuan-Liu-2007-201-124-1,,Taiyuan,Liu-2007-201-124,suei⁵³⁻²¹ kuo⁵³,suei⁵³⁻²¹ kuo⁵³,s w ei ⁵³ + k w o ⁵³,,Liu2007,,,,,i m n  t + i m n t,,s w ei   k w o , ei k o s w
930,XiAn-Liu-2007-201-124-1,,XiAn,Liu-2007-201-124,fei⁵³ kuo⁰,fei⁵³ kuo⁰,f ei ⁵³ + k w o ⁰,,Liu2007,,,,,i n t + i m n t,,f ei   k w o , ei f k o w
931,Chengdu-Liu-2007-201-124-1,,Chengdu,Liu-2007-201-124,suei⁵³⁻⁵⁵ ko⁵³,suei⁵³⁻⁵⁵ ko⁵³,s w ei ⁵³ + k o ⁵³,,Liu2007,,,,,i m n t + i n t,,s w ei   k o , ei k o s w
932,Nanjing-Liu-2007-201-124-1,,Nanjing,Liu-2007-201-124,suei¹¹⁻¹² ko¹¹,suei¹¹⁻¹² ko¹¹,s w ei ¹¹ + k o ¹¹,,Liu2007,,,,,i m n t + i n t,,s w ei   k o , ei k o s w
933,Jixi-Liu-2007-201-124-1,,Jixi,Liu-2007-201-124,ɕy²¹³⁻³¹ kɵ²¹³,ɕy²¹³⁻³¹ kɵ²¹³,ɕ y ²¹³ + k ɵ ²¹³,,Liu2007,,,,,i n t + i n t,,S i   k 3 , 3 S i k
934,Suzhou-Liu-2007-201-124-1,,Suzhou,Liu-2007-201-124,sʯ⁵²⁻⁴¹ kəu⁵²⁻²³,sʯ⁵²⁻⁴¹ kəu⁵²⁻²³,s ʯ ⁵² + k əu ⁵²,,Liu2007,,,,,i n t + i n t,,s   k 3u , 3u k s
935,Wenzhou-Liu-2007-201-124-1,,Wenzhou,Liu-2007-201-124,sɿ²⁴⁻⁵³ ku²⁴²⁻²³,sɿ²⁴⁻⁵³ ku²⁴²⁻²³,s ɿ ²⁴ + k u ²⁴²,,Liu2007,,,,,i n t + i n t,,s   k u , k s u
936,Changsha-Liu-2007-201-124-1,,Changsha,Liu-2007-201-124,ɕyei⁴¹ ko⁴¹,ɕyei⁴¹ ko⁴¹,ɕ ɥ ei ⁴¹ + k o ⁴¹,,Liu2007,,,,,i m n t + i n t,,S y ei   k o , S ei k o y
937,Loudi-Liu-2007-201-124-1,,Loudi,Liu-2007-201-124,ko⁴² tsɿ⁰,ko⁴² tsɿ⁰,k o ⁴² + ts ɿ ⁰,,Liu2007,,,,,i n t + i n t,,k o   ts , k o ts
938,Nanchang-Liu-2007-201-124-1,,Nanchang,Liu-2007-201-124,sui²¹³⁻⁴⁴ kuo²¹³,sui²¹³⁻⁴⁴ kuo²¹³,s w i ²¹³ + k w o ²¹³,,Liu2007,,,,,i m n t + i m n t,,s w i   k w o , i k o s w
939,Meixian-Liu-2007-201-124-1,,Meixian,Liu-2007-201-124,sui³¹⁻³³ kuo³¹,sui³¹⁻³³ kuo³¹,s w i ³¹ + k w o ³¹,,Liu2007,,,,,i m n t + i m n t,,s w i   k w o , i k o s w
940,Guilin-Liu-2007-201-124-1,,Guilin,Liu-2007-201-124,suei²³ kuo²³⁻²²,suei²³ kuo²³⁻²²,s w ei ²³ + k w o ²³,,Liu2007,,,,,i m n t + i m n t,,s w ei   k w o , ei k o s w
941,Guangzhou-Liu-2007-201-124-1,,Guangzhou,Liu-2007-201-124,søy³⁵ kyɔ³⁵,søy³⁵ kyɔ³⁵,s øy ³⁵ + k ɥ ɔ ³⁵,,Liu2007,,,,,i n t + i m n t,,s ei   k y o , ei k o s y
942,Fuzhou-Liu-2007-201-124-1,,Fuzhou,Liu-2007-201-124,kuo³²⁻³⁵ ʒi³²,kuo³²⁻³⁵ ʒi³²,k w o ³² + ʒ i ³²,,Liu2007,,,,,i m n t + i n t,,k w o   Z i , Z i k o w
943,Xiamen-Liu-2007-201-124-1,,Xiamen,Liu-2007-201-124,tsui⁵³⁻⁵⁵ ko⁵³,tsui⁵³⁻⁵⁵ ko⁵³,ts w i ⁵³ + k o ⁵³,,Liu2007,,,,,i m n t + i n t,,ts w i   k o , i k o ts w
944,Beijing-Liu-2007-201-125-1,,Beijing,Liu-2007-201-125,ʂuei⁵¹,ʂuei⁵¹,ʂ w ei ⁵¹,,Liu2007,,,,,i m n t,,S w ei , S ei w
945,Haerbin-Liu-2007-201-125-1,,Haerbin,Liu-2007-201-125,ʂuei⁵³,ʂuei⁵³,ʂ w ei ⁵³,,Liu2007,,,,,i m n t,,S w ei , S ei w
946,Jinan-Liu-2007-201-125-1,,Jinan,Liu-2007-201-125,ʂuei³¹,ʂuei³¹,ʂ w ei ³¹,,Liu2007,,,,,i m n t,,S w ei , S ei w
947,Rongcheng-Liu-2007-201-125-1,,Rongcheng,Liu-2007-201-125,ʂuei³³⁴,ʂuei³³⁴,ʂ w ei ³³⁴,,Liu2007,,,,,i m n t,,S w ei , S ei w
948,Taiyuan-Liu-2007-201-125-1,,Taiyuan,Liu-2007-201-125,suei⁴⁵,suei⁴⁵,s w ei ⁴⁵,,Liu2007,,,,,i m n t,,s w ei , ei s w
949,XiAn-Liu-2007-201-125-1,,XiAn,Liu-2007-201-125,fei⁴⁴,fei⁴⁴,f ei ⁴⁴,,Liu2007,,,,,i n t,,f ei , ei f
950,Chengdu-Liu-2007-201-125-1,,Chengdu,Liu-2007-201-125,suei²¹³,suei²¹³,s w ei ²¹³,,Liu2007,,,,,i m n t,,s w ei , ei s w
951,Nanjing-Liu-2007-201-125-1,,Nanjing,Liu-2007-201-125,suei⁴⁴,suei⁴⁴,s w ei ⁴⁴,,Liu2007,,,,,i m n t,,s w ei , ei s w
952,Jixi-Liu-2007-201-125-1,,Jixi,Liu-2007-201-125,kʰuɑ̃³⁵,kʰuɑ̃³⁵,kʰ w ɑ̃ ³⁵,,Liu2007,,,,,i m n t,,kh~ w o* , kh~ o* w
953,Suzhou-Liu-2007-201-125-1,,Suzhou,Liu-2007-201-125,kʰuən⁴¹²,kʰuən⁴¹²,kʰ w ə n ⁴¹²,,Liu2007,,,,,i m n c t,,kh~ w 3 n , 3 kh~ n w
954,Wenzhou-Liu-2007-201-125-1,,Wenzhou,Liu-2007-201-125,kʰy⁵¹,kʰy⁵¹,kʰ y ⁵¹,,Liu2007,,,,,i n t,,kh~ i , i kh~
955,Changsha-Liu-2007-201-125-1,,Changsha,Liu-2007-201-125,ɕyei¹¹,ɕyei¹¹,ɕ ɥ ei ¹¹,,Liu2007,,,,,i m n t,,S y ei , S ei y
956,Changsha-Liu-2007-201-125-2,,Changsha,Liu-2007-201-125,kʰuən⁵⁵,kʰuən⁵⁵,kʰ w ə n ⁵⁵,,Liu2007,,,,,i m n c t,,kh~ w 3 n , 3 kh~ n w
957,Loudi-Liu-2007-201-125-1,,Loudi,Liu-2007-201-125,kʰun³⁵,kʰun³⁵,kʰ u n ³⁵,,Liu2007,,,,,i n c t,,kh~ u n , kh~ n u
958,Nanchang-Liu-2007-201-125-1,,Nanchang,Liu-2007-201-125,kʰun²¹³,kʰun²¹³,kʰ u n ²¹³,,Liu2007,,,,,i n c t,,kh~ u n , kh~ n u
959,Meixian-Liu-2007-201-125-1,,Meixian,Liu-2007-201-125,soi⁵³,soi⁵³,s oi ⁵³,,Liu2007,,,,,i n t,,s oi , oi s
960,Guilin-Liu-2007-201-125-1,,Guilin,Liu-2007-201-125,suei²¹,suei²¹,s w ei ²¹,,Liu2007,,,,,i m n t,,s w ei , ei s w
961,Guangzhou-Liu-2007-201-125-1,,Guangzhou,Liu-2007-201-125,søy²²,søy²²,s øy ²²,,Liu2007,,,,,i n t,,s ei , ei s
962,Fuzhou-Liu-2007-201-125-1,,Fuzhou,Liu-2007-201-125,kʰɔuŋ²¹²,kʰɔuŋ²¹²,kʰ ɔu ŋ ²¹²,,Liu2007,,,,,i n c t,,kh~ ou N , N kh~ ou
963,Xiamen-Liu-2007-201-125-1,,Xiamen,Liu-2007-201-125,kʰun²¹,kʰun²¹,kʰ u n ²¹,,Liu2007,,,,,i n c t,,kh~ u n , kh~ n u
964,Beijing-Liu-2007-201-126-1,,Beijing,Liu-2007-201-126,ɕi⁵⁵,ɕi⁵⁵,ɕ i ⁵⁵,,Liu2007,,,,,i n t,,S i , S i
965,Haerbin-Liu-2007-201-126-1,,Haerbin,Liu-2007-201-126,kuo²¹³,kuo²¹³,k w o ²¹³,,Liu2007,,,,,i m n t,,k w o , k o w
966,Jinan-Liu-2007-201-126-1,,Jinan,Liu-2007-201-126,ʂuẽ⁵³,ʂuẽ⁵³,ʂ w ẽ ⁵³,,Liu2007,,,,,i m n t,,S w e* , S e* w
967,Rongcheng-Liu-2007-201-126-1,,Rongcheng,Liu-2007-201-126,çy²¹⁴,çy²¹⁴,ç y ²¹⁴,,Liu2007,,,,,i n t,,S i , S i
968,Taiyuan-Liu-2007-201-126-1,,Taiyuan,Liu-2007-201-126,ɕiəʔ²,ɕiəʔ²,ɕ j ə ʔ ²,,Liu2007,,,,,i m n c t,,S y 3 7 , 3 7 S y
969,XiAn-Liu-2007-201-126-1,,XiAn,Liu-2007-201-126,ɕi²¹,ɕi²¹,ɕ i ²¹,,Liu2007,,,,,i n t,,S i , S i
970,Chengdu-Liu-2007-201-126-1,,Chengdu,Liu-2007-201-126,tɕy²¹,tɕy²¹,tɕ y ²¹,,Liu2007,,,,,i n t,,tS i , i tS
971,Nanjing-Liu-2007-201-126-1,,Nanjing,Liu-2007-201-126,soʔ⁵,soʔ⁵,s o ʔ ⁵,,Liu2007,,,,,i n c t,,s o 7 , 7 o s
972,Jixi-Liu-2007-201-126-1,,Jixi,Liu-2007-201-126,soʔ³²*,soʔ³²*,s o ʔ ³²,,Liu2007,,,,,i n c t,,s o 7 , 7 o s
973,Suzhou-Liu-2007-201-126-1,,Suzhou,Liu-2007-201-126,həu⁴⁴,həu⁴⁴,h əu ⁴⁴,,Liu2007,,,,,i n t,,h 3u , 3u h
974,Suzhou-Liu-2007-201-126-2,,Suzhou,Liu-2007-201-126,soʔ⁴,soʔ⁴,s o ʔ ⁴,,Liu2007,,,,,i n c t,,s o 7 , 7 o s
975,Wenzhou-Liu-2007-201-126-1,,Wenzhou,Liu-2007-201-126,tɕy⁴¹,tɕy⁴¹,tɕ y ⁴¹,,Liu2007,,,,,i n t,,tS i , i tS
976,Wenzhou-Liu-2007-201-126-2,,Wenzhou,Liu-2007-201-126,ɕiai⁴¹,ɕiai⁴¹,ɕ j ai ⁴¹,,Liu2007,,,,,i m n t,,S y ai , S ai y
977,Changsha-Liu-2007-201-126-1,,Changsha,Liu-2007-201-126,tɕin³³,tɕin³³,tɕ i n ³³,,Liu2007,,,,,i n c t,,tS i n , i n tS
978,Loudi-Liu-2007-201-126-1,,Loudi,Liu-2007-201-126,tsin⁴⁴,tsin⁴⁴,ts i n ⁴⁴,,Liu2007,,,,,i n c t,,ts i n , i n ts
979,Nanchang-Liu-2007-201-126-1,,Nanchang,Liu-2007-201-126,tɕit⁵,tɕit⁵,tɕ i t ⁵,,Liu2007,,,,,i n c t,,tS i t , i t tS
980,Meixian-Liu-2007-201-126-1,,Meixian,Liu-2007-201-126,kʰip¹,kʰip¹,kʰ i p ¹,,Liu2007,,,,,i n c t,,kh~ i p , i kh~ p
981,Guilin-Liu-2007-201-126-1,,Guilin,Liu-2007-201-126,suo⁵⁵,suo⁵⁵,s w o ⁵⁵,,Liu2007,,,,,i m n t,,s w o , o s w
982,Guangzhou-Liu-2007-201-126-1,,Guangzhou,Liu-2007-201-126,syn²³,syn²³,s y n ²³,,Liu2007,,,,,i n c t,,s i n , i n s
983,Guangzhou-Liu-2007-201-126-2,,Guangzhou,Liu-2007-201-126,kʰɐp⁵,kʰɐp⁵,kʰ ɐ p ⁵,,Liu2007,,,,,i n c t,,kh~ a p , a kh~ p
984,Fuzhou-Liu-2007-201-126-1,,Fuzhou,Liu-2007-201-126,soʔ²⁴*,soʔ²⁴*,s o ʔ ²⁴,,Liu2007,,,,,i n c t,,s o 7 , 7 o s
985,Xiamen-Liu-2007-201-126-1,,Xiamen,Liu-2007-201-126,suʔ⁵,suʔ⁵,s u ʔ ⁵,,Liu2007,,,,,i n c t,,s u 7 , 7 s u
986,Beijing-Liu-2007-201-127-1,,Beijing,Liu-2007-201-127,ʂuo⁵⁵,ʂuo⁵⁵,ʂ w o ⁵⁵,,Liu2007,,,,,i m n t,,S w o , S o w
987,Haerbin-Liu-2007-201-127-1,,Haerbin,Liu-2007-201-127,ʂuo⁴⁴,ʂuo⁴⁴,ʂ w o ⁴⁴,,Liu2007,,,,,i m n t,,S w o , S o w
988,Haerbin-Liu-2007-201-127-2,,Haerbin,Liu-2007-201-127,pai⁴⁴,pai⁴⁴,p ai ⁴⁴,,Liu2007,,,,,i n t,,p ai , ai p
989,Haerbin-Liu-2007-201-127-3,,Haerbin,Liu-2007-201-127,lau⁴⁴,lau⁴⁴,l au ⁴⁴,,Liu2007,,,,,i n t,,l au , au l
990,Jinan-Liu-2007-201-127-1,,Jinan,Liu-2007-201-127,ʂuɤ²¹,ʂuɤ²¹,ʂ w ɤ ²¹,,Liu2007,,,,,i m n t,,S w o , S o w
991,Rongcheng-Liu-2007-201-127-1,,Rongcheng,Liu-2007-201-127,ʃuɛ²¹⁴,ʃuɛ²¹⁴,ʃ w ɛ ²¹⁴,,Liu2007,,,,,i m n t,,S w E , E S w
992,Taiyuan-Liu-2007-201-127-1,,Taiyuan,Liu-2007-201-127,suəʔ²,suəʔ²,s w ə ʔ ²,,Liu2007,,,,,i m n c t,,s w 3 7 , 3 7 s w
993,XiAn-Liu-2007-201-127-1,,XiAn,Liu-2007-201-127,ʂy²¹,ʂy²¹,ʂ y ²¹,,Liu2007,,,,,i n t,,S i , S i
994,Chengdu-Liu-2007-201-127-1,,Chengdu,Liu-2007-201-127,so²¹,so²¹,s o ²¹,,Liu2007,,,,,i n t,,s o , o s
995,Chengdu-Liu-2007-201-127-2,,Chengdu,Liu-2007-201-127,pai⁵³,pai⁵³,p ai ⁵³,,Liu2007,,,,,i n t,,p ai , ai p
996,Nanjing-Liu-2007-201-127-1,,Nanjing,Liu-2007-201-127,tɕiɑ̃¹¹,tɕiɑ̃¹¹,tɕ j ɑ̃ ¹¹,,Liu2007,,,,,i m n t,,tS y o* , o* tS y
997,Nanjing-Liu-2007-201-127-2,,Nanjing,Liu-2007-201-127,soʔ⁵,soʔ⁵,s o ʔ ⁵,,Liu2007,,,,,i n c t,,s o 7 , 7 o s
998,Jixi-Liu-2007-201-127-1,,Jixi,Liu-2007-201-127,ɕyaʔ³²*,ɕyaʔ³²*,ɕ ɥ a ʔ ³²,,Liu2007,,,,,i m n c t,,S y a 7 , 7 S a y
999,Jixi-Liu-2007-201-127-2,,Jixi,Liu-2007-201-127,kõ²¹³,kõ²¹³,k õ ²¹³,,Liu2007,,,,,i n t,,k o* , k o*
1000,Suzhou-Liu-2007-201-127-1,,Suzhou,Liu-2007-201-127,səʔ⁴,səʔ⁴,s ə ʔ ⁴,,Liu2007,,,,,i n c t,,s 3 7 , 3 7 s
1001,Wenzhou-Liu-2007-201-127-1,,Wenzhou,Liu-2007-201-127,kuɔ²⁴²,kuɔ²⁴²,k w ɔ ²⁴²,,Liu2007,,,,,i m n t,,k w o , k o w
1002,Changsha-Liu-2007-201-127-1,,Changsha,Liu-2007-201-127,so²⁴,so²⁴,s o ²⁴,,Liu2007,,,,,i n t,,s o , o s
1003,Changsha-Liu-2007-201-127-2,,Changsha,Liu-2007-201-127,tɕian⁴¹,tɕian⁴¹,tɕ j a n ⁴¹,,Liu2007,,,,,i m n c t,,tS y a n , a n tS y
1004,Loudi-Liu-2007-201-127-1,,Loudi,Liu-2007-201-127,kɔŋ⁴²,kɔŋ⁴²,k ɔ ŋ ⁴²,,Liu2007,,,,,i n c t,,k o N , N k o
1005,Nanchang-Liu-2007-201-127-1,,Nanchang,Liu-2007-201-127,ua²¹,ua²¹,w a ²¹,,Liu2007,,,,,m n t,,w a , a w
1006,Meixian-Liu-2007-201-127-1,,Meixian,Liu-2007-201-127,koŋ³¹,koŋ³¹,k o ŋ ³¹,,Liu2007,,,,,i n c t,,k o N , N k o
1007,Guilin-Liu-2007-201-127-1,,Guilin,Liu-2007-201-127,kɑŋ²³,kɑŋ²³,k ɑ ŋ ²³,,Liu2007,,,,,i n c t,,k o N , N k o
1008,Guangzhou-Liu-2007-201-127-1,,Guangzhou,Liu-2007-201-127,syt³,syt³,s y t ³,,Liu2007,,,,,i n c t,,s i t , i s t
1009,Fuzhou-Liu-2007-201-127-1,,Fuzhou,Liu-2007-201-127,kouŋ³²,kouŋ³²,k ou ŋ ³²,,Liu2007,,,,,i n c t,,k ou N , N k ou
1010,Xiamen-Liu-2007-201-127-1,,Xiamen,Liu-2007-201-127,kɔŋ⁵³,kɔŋ⁵³,k ɔ ŋ ⁵³,,Liu2007,,,,,i n c t,,k o N , N k o
1011,Beijing-Liu-2007-201-128-1,,Beijing,Liu-2007-201-128,sɿ⁵⁵ liɛ⁵¹,sɿ⁵⁵ liɛ⁵¹,s ɿ ⁵⁵ + l j ɛ ⁵¹,,Liu2007,,,,,i n t + i m n t,,s   l y E , E l s y
1012,Haerbin-Liu-2007-201-128-1,,Haerbin,Liu-2007-201-128,sɿ⁴⁴ liɛ⁵³,sɿ⁴⁴ liɛ⁵³,s ɿ ⁴⁴ + l j ɛ ⁵³,,Liu2007,,,,,i n t + i m n t,,s   l y E , E l s y
1013,Jinan-Liu-2007-201-128-1,,Jinan,Liu-2007-201-128,sɿ²¹⁴⁻²⁴ liə³¹,sɿ²¹⁴⁻²⁴ liə³¹,s ɿ ²¹⁴ + l j ə ³¹,,Liu2007,,,,,i n t + i m n t,,s   l y 3 , 3 l s y
1014,Rongcheng-Liu-2007-201-128-1,,Rongcheng,Liu-2007-201-128,sɿ⁵² liɛ²¹⁴,sɿ⁵² liɛ²¹⁴,s ɿ ⁵² + l j ɛ ²¹⁴,,Liu2007,,,,,i n t + i m n t,,s   l y E , E l s y
1015,Taiyuan-Liu-2007-201-128-1,,Taiyuan,Liu-2007-201-128,sɿ²¹,sɿ²¹,s ɿ ²¹,,Liu2007,,,,,i n t,,s , s
1016,Taiyuan-Liu-2007-201-128-2,,Taiyuan,Liu-2007-201-128,sɿ²¹ lie⁴⁵,sɿ²¹ lie⁴⁵,s ɿ ²¹ + l j e ⁴⁵,,Liu2007,,,,,i n t + i m n t,,s   l y e , e l s y
1017,XiAn-Liu-2007-201-128-1,,XiAn,Liu-2007-201-128,sɿ²¹ læ̃⁴⁴,sɿ²¹ læ̃⁴⁴,s ɿ ²¹ + l æ̃ ⁴⁴,,Liu2007,,,,,i n t + i n t,,s   l E* , E* l s
1018,XiAn-Liu-2007-201-128-2,,XiAn,Liu-2007-201-128,sɿ²¹,sɿ²¹,s ɿ ²¹,,Liu2007,,,,,i n t,,s , s
1019,Chengdu-Liu-2007-201-128-1,,Chengdu,Liu-2007-201-128,sɿ⁴⁵ kʰai⁴⁵,sɿ⁴⁵ kʰai⁴⁵,s ɿ ⁴⁵ + kʰ ai ⁴⁵,,Liu2007,,,,,i n t + i n t,,s   kh~ ai , ai kh~ s
1020,Nanjing-Liu-2007-201-128-1,,Nanjing,Liu-2007-201-128,sɿ³¹,sɿ³¹,s ɿ ³¹,,Liu2007,,,,,i n t,,s , s
1021,Nanjing-Liu-2007-201-128-2,,Nanjing,Liu-2007-201-128,sɿ³¹ lieʔ⁵,sɿ³¹ lieʔ⁵,s ɿ ³¹ + l j e ʔ ⁵,,Liu2007,,,,,i n t + i m n c t,,s   l y e 7 , 7 e l s y
1022,Jixi-Liu-2007-201-128-1,,Jixi,Liu-2007-201-128,tɕʰiɔ²¹³,tɕʰiɔ²¹³,tɕʰ j ɔ ²¹³,,Liu2007,,,,,i m n t,,tSh~ y o , o tSh~ y
1023,Jixi-Liu-2007-201-128-2,,Jixi,Liu-2007-201-128,tɕʰiɔ²¹³⁻³¹ kʰa⁵⁵,tɕʰiɔ²¹³⁻³¹ kʰa⁵⁵,tɕʰ j ɔ ²¹³ + kʰ a ⁵⁵,,Liu2007,,,,,i m n t + i n t,,tSh~ y o   kh~ a , a kh~ o tSh~ y
1024,Suzhou-Liu-2007-201-128-1,,Suzhou,Liu-2007-201-128,hən⁴⁴,hən⁴⁴,h ə n ⁴⁴,,Liu2007,,,,,i n c t,,h 3 n , 3 h n
1025,Wenzhou-Liu-2007-201-128-1,,Wenzhou,Liu-2007-201-128,do²¹,do²¹,d o ²¹,,Liu2007,,,,,i n t,,d o , d o
1026,Changsha-Liu-2007-201-128-1,,Changsha,Liu-2007-201-128,si³³,si³³,s i ³³,,Liu2007,,,,,i n t,,s i , i s
1027,Changsha-Liu-2007-201-128-2,,Changsha,Liu-2007-201-128,tʂʰə⁴¹,tʂʰə⁴¹,ʈʂʰ ə ⁴¹,,Liu2007,,,,,i n t,,tSh~ 3 , 3 tSh~
1028,Loudi-Liu-2007-201-128-1,,Loudi,Liu-2007-201-128,tʰiɔ⁴² bu³⁵⁻⁵,tʰiɔ⁴² bu³⁵⁻⁵,tʰ j ɔ ⁴² + b u ³⁵,,Liu2007,,,,,i m n t + i n t,,th~ y o   b u , b o th~ u y
1029,Nanchang-Liu-2007-201-128-1,,Nanchang,Liu-2007-201-128,si⁴² liɛt⁵,si⁴² liɛt⁵,s i ⁴² + l j ɛ t ⁵,,Liu2007,,,,,i n t + i m n c t,,s i   l y E t , E i l s t y
1030,Nanchang-Liu-2007-201-128-2,,Nanchang,Liu-2007-201-128,sɿ⁴²,sɿ⁴²,s ɿ ⁴²,,Liu2007,,,,,i n t,,s , s
1031,Nanchang-Liu-2007-201-128-3,,Nanchang,Liu-2007-201-128,tsei⁴²,tsei⁴²,ts ei ⁴²,,Liu2007,,,,,i n t,,ts ei , ei ts
1032,Meixian-Liu-2007-201-128-1,,Meixian,Liu-2007-201-128,tsʰa³¹ kʰoi³³,tsʰa³¹ kʰoi³³,tsʰ a ³¹ + kʰ oi ³³,,Liu2007,,,,,i n t + i n t,,tsh~ a   kh~ oi , a kh~ oi tsh~
1033,Guilin-Liu-2007-201-128-1,,Guilin,Liu-2007-201-128,tsʰᴀ²³⁻²² pʰuo²⁵,tsʰᴀ²³⁻²² pʰuo²⁵,tsʰ a̠ ²³ + pʰ w o ²⁵,,Liu2007,,,,,i n t + i m n t,,tsh~ a   ph~ w o , a o ph~ tsh~ w
1034,Guangzhou-Liu-2007-201-128-1,,Guangzhou,Liu-2007-201-128,si⁵³ lit²,si⁵³ lit²,s i ⁵³ + l i t ²,,Liu2007,,,,,i n t + i n c t,,s i   l i t , i l s t
1035,Fuzhou-Liu-2007-201-128-1,,Fuzhou,Liu-2007-201-128,tʰie³² lieʔ⁵,tʰie³² lieʔ⁵,tʰ j e ³² + l j e ʔ ⁵,,Liu2007,,,,,i m n t + i m n c t,,th~ y e   l y e 7 , 7 e l th~ y
1036,Xiamen-Liu-2007-201-128-1,,Xiamen,Liu-2007-201-128,tʰiaʔ⁵³* li²²,tʰiaʔ⁵³* li²²,tʰ j a ʔ ⁵³ + l i ²²,,Liu2007,,,,,i m n c t + i n t,,th~ y a 7   l i , 7 a i l th~ y
1037,Beijing-Liu-2007-201-129-1,,Beijing,Liu-2007-201-129,sɿ²¹³,sɿ²¹³,s ɿ ²¹³,,Liu2007,,,,,i n t,,s , s
1038,Haerbin-Liu-2007-201-129-1,,Haerbin,Liu-2007-201-129,sɿ²¹³,sɿ²¹³,s ɿ ²¹³,,Liu2007,,,,,i n t,,s , s
1039,Jinan-Liu-2007-201-129-1,,Jinan,Liu-2007-201-129,sɿ⁴⁵,sɿ⁴⁵,s ɿ ⁴⁵,,Liu2007,,,,,i n t,,s , s
1040,Rongcheng-Liu-2007-201-129-1,,Rongcheng,Liu-2007-201-129,sɿ²¹⁴,sɿ²¹⁴,s ɿ ²¹⁴,,Liu2007,,,,,i n t,,s , s
1041,Taiyuan-Liu-2007-201-129-1,,Taiyuan,Liu-2007-201-129,sɿ⁵³,sɿ⁵³,s ɿ ⁵³,,Liu2007,,,,,i n t,,s , s
