,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
1248,Gyeonggi-64_husband-1,,Gyeonggi,64_husband,sə-baŋ,sə-baŋ,s ə + b a ŋ,,Ogura1944,,,^ s ə - b a ŋ $,default,s 3  b a N, 3 N a b s
1249,Gyeonggi-237_wife-1,,Gyeonggi,237_wife,ma-nu-ra,ma-nu-ra,m a + n u + ɾ a,,Ogura1944,,,^ m a - n u - r a $,default,m a  n u  r a, a m n r u
1250,Gyeonggi-84_mother-1,,Gyeonggi,84_mother,ə-mə-ni,ə-mə-ni,ə + m ə + n i,,Ogura1944,,,^ ə - m ə - n i $,default,3  m 3  n i, 3 i m n
1251,Gyeonggi-38_father-1,,Gyeonggi,38_father,a-pa,a-pa,a + p a,,Ogura1944,,,^ a - p a $,default,a  p a, a p
1252,Gyeonggi-62_house-1,,Gyeonggi,62_house,cip,cip,tɕ i p,,Ogura1944,,,^ c i p $,default,tS i p,i p tS
1253,Gyeonggi-142_thatchroof-1,,Gyeonggi,142_thatchroof,ci-buŋ,ci-buŋ,tɕ i + b u ŋ,,Ogura1944,,,^ c i - b u ŋ $,default,tS i  b u N, N b i tS u
1254,Gyeonggi-87_name-1,,Gyeonggi,87_name,i-rɨm,i-rɨm,i + ɾ ɨ m,,Ogura1944,,,^ i - r ɨ m $,default,i  r 3 m, 3 i m r
1255,Gyeonggi-195_tosay-1,,Gyeonggi,195_tosay,mal-,mal-,m a l,,Ogura1944,,,^ m a l -$,default,m a l,a l m
1256,Gyeonggi-111_rope-1,,Gyeonggi,111_rope,sɛt-ki,sɛt-ki,s ɛ t + k i,,Ogura1944,,,^ s ɛ t - k i $,default,s E t  k i, E i k s t
1257,Gyeonggi-214_totieupfasten-1,,Gyeonggi,214_totieupfasten,əŋ-nɨn-,əŋ-nɨn-,ə ŋ + n ɨ n,,Ogura1944,,,^ ə ŋ - n ɨ n -$,default,3 N  n 3 n, 3 N n
1258,Gyeonggi-198_tosew-1,,Gyeonggi,198_tosew,k'o-mɛ-,k'o-mɛ-,k͈ o + m ɛ,,Ogura1944,,,^ k' o - m ɛ -$,default,k o  m E, E k m o
1259,Gyeonggi-91_needle-1,,Gyeonggi,91_needle,pa-nɨl,pa-nɨl,p a + n ɨ l,,Ogura1944,,,^ p a - n ɨ l $,default,p a  n 3 l, 3 a l n p
1260,Gyeonggi-182_tohunt-1,,Gyeonggi,182_tohunt,sɛ-njaŋ-,sɛ-njaŋ-,s ɛ + n dʑ a ŋ,,Ogura1944,,,^ s ɛ - n j a ŋ -$,default,s E  n dZ a N, E N a dZ n s
1261,Gyeonggi-199_toshoot-1,,Gyeonggi,199_toshoot,s'on-,s'on-,s͈ o n,,Ogura1944,,,^ s' o n -$,default,s o n,n o s
1262,Gyeonggi-206_tostabpierce-1,,Gyeonggi,206_tostabpierce,c'i-rɨ-,c'i-rɨ-,tɕ͈ i + ɾ ɨ,,Ogura1944,,,^ c' i - r ɨ -$,default,tS i  r 3, 3 i r tS
1263,Gyeonggi-180_tohit-1,,Gyeonggi,180_tohit,cʰi-,cʰi-,tɕʰ i,,Ogura1944,,,^ cʰ i -$,default,tSh~ i,i tSh~
1264,Gyeonggi-208_tosteal-1,,Gyeonggi,208_tosteal,hum-cʰi-,hum-cʰi-,h u m + tɕʰ i,,Ogura1944,,,^h u m - cʰ i -$,default,h u m  tSh~ i, h i m tSh~ u
1265,Gyeonggi-183_tokill-1,,Gyeonggi,183_tokill,cu-gi-,cu-gi-,tɕ u + g i,,Ogura1944,,,^ c u - g i -$,default,tS u  g i, g i tS u
1266,Gyeonggi-164_todiebedead-1,,Gyeonggi,164_todiebedead,cuk-,cuk-,tɕ u k,,Ogura1944,,,^ c u k -$,default,tS u k,k tS u
1267,Gyeonggi-187_tolivebealive-1,,Gyeonggi,187_tolivebealive,sal-,sal-,s a l,,Ogura1944,,,^ s a l -$,default,s a l,a l s
1268,Gyeonggi-196_toscratch-1,,Gyeonggi,196_toscratch,kɨk-,kɨk-,k ɨ k,,Ogura1944,,,^ k ɨ k -$,default,k 3 k,3 k
1269,Gyeonggi-163_tocuthack-1,,Gyeonggi,163_tocuthack,ca-rɨ-,ca-rɨ-,tɕ a + ɾ ɨ,,Ogura1944,,,^ c a - r ɨ -$,default,tS a  r 3, 3 a r tS
1270,Gyeonggi-135_stickwood-1,,Gyeonggi,135_stickwood,mak-tɛ-gi,mak-tɛ-gi,m a k + t ɛ + g i,,Ogura1944,,,^ m a k - t ɛ - g i $,default,m a k  t E  g i, E a g i k m t
1271,Gyeonggi-204_tosplit-1,,Gyeonggi,204_tosplit,ka-rɨ-,ka-rɨ-,k a + ɾ ɨ,,Ogura1944,,,^ k a - r ɨ -$,default,k a  r 3, 3 a k r
1272,Gyeonggi-119_sharp-1,,Gyeonggi,119_sharp,nal-ka-rop-,nal-ka-rop-,n a l + k a + ɾ o p,,Ogura1944,,,^ n a l - k a - r o p -$,default,n a l  k a  r o p, a k l n o p r
1273,Gyeonggi-29_dull-1,,Gyeonggi,29_dull,mu-di-,mu-di-,m u + d i,,Ogura1944,,,^ m u - d i -$,default,m u  d i, d i m u
1274,Gyeonggi-219_towork-1,,Gyeonggi,219_towork,il-,il-,i l,,Ogura1944,,,^ i l -$,default,i l,i l
1275,Gyeonggi-189_toplant-1,,Gyeonggi,189_toplant,sim-nɨn-,sim-nɨn-,s i m + n ɨ n,,Ogura1944,,,^ s i m - n ɨ n -$,default,s i m  n 3 n, 3 i m n s
1276,Gyeonggi-157_tochoose-1,,Gyeonggi,157_tochoose,ko-rɨ-,ko-rɨ-,k o + ɾ ɨ,,Ogura1944,,,^ k o - r ɨ -$,default,k o  r 3, 3 k o r
1277,Gyeonggi-177_togrow-1,,Gyeonggi,177_togrow,ki-rɨn-,ki-rɨn-,k i + ɾ ɨ n,,Ogura1944,,,^ k i - r ɨ n -$,default,k i  r 3 n, 3 i k n r
1278,Gyeonggi-210_toswell-1,,Gyeonggi,210_toswell,put-,put-,p u t,,Ogura1944,,,^ p u t -$,default,p u t,p t u
1279,Gyeonggi-205_tosqueeze-1,,Gyeonggi,205_tosqueeze,c'a-,c'a-,tɕ͈ a,,Ogura1944,,,^ c' a -$,default,tS a,a tS
1280,Gyeonggi-181_tohold-1,,Gyeonggi,181_tohold,cap-,cap-,tɕ a p,,Ogura1944,,,^ c a p -$,default,tS a p,a p tS
1281,Gyeonggi-165_todig-1,,Gyeonggi,165_todig,pa-,pa-,p a,,Ogura1944,,,^ p a -$,default,p a,a p
1282,Gyeonggi-155_tobuy-1,,Gyeonggi,155_tobuy,san-,san-,s a n,,Ogura1944,,,^ s a n -$,default,s a n,a n s
1283,Gyeonggi-188_toopenuncover-1,,Gyeonggi,188_toopenuncover,jel-,jel-,dʑ e l,,Ogura1944,,,^ j e l -$,default,dZ e l,dZ e l
1284,Gyeonggi-191_topoundbeat-1,,Gyeonggi,191_topoundbeat,t'ɛ-rin-,t'ɛ-rin-,t͈ ɛ + ɾ i n,,Ogura1944,,,^ t' ɛ - r i n -$,default,t E  r i n, E i n r t
1285,Gyeonggi-213_tothrow-1,,Gyeonggi,213_tothrow,tən-ci-,tən-ci-,t ə n + tɕ i,,Ogura1944,,,^ t ə n - c i -$,default,t 3 n  tS i, 3 i n t tS
1286,Gyeonggi-169_tofall-1,,Gyeonggi,169_tofall,t'ǝ-rǝ-cin-,t'ǝ-rǝ-cin-,t͈ ə + ɾ ə + tɕ i n,,Ogura1944,,,^ t' ǝ - r ǝ - c i n -$,default,t 3  r 3  tS i n, 3 i n r t tS
1287,Gyeonggi-27_dog-1,,Gyeonggi,27_dog,ka-hi,ka-hi,k a + h i,,Ogura1944,,,^ k a -h i $,default,k a  h i, a h i k
1288,Gyeonggi-14_bird-1,,Gyeonggi,14_bird,sɛ,sɛ,s ɛ,,Ogura1944,,,^ s ɛ $,default,s E,E s
1289,Gyeonggi-33_egg-1,,Gyeonggi,33_egg,tal-gjal,tal-gjal,t a l + g dʑ a l,,Ogura1944,,,^ t a l - g j a l $,default,t a l  g dZ a l, a dZ g l t
1290,Gyeonggi-39_feather-1,,Gyeonggi,39_feather,kit,kit,k i t,,Ogura1944,,,^ k i t $,default,k i t,i k t
1291,Gyeonggi-239_wing-1,,Gyeonggi,239_wing,nal-kɛ-mi,nal-kɛ-mi,n a l + k ɛ + m i,,Ogura1944,,,^ n a l - k ɛ - m i $,default,n a l  k E  m i, E a i k l m n
1292,Gyeonggi-174_tofly-1,,Gyeonggi,174_tofly,nal-,nal-,n a l,,Ogura1944,,,^ n a l -$,default,n a l,a l n
1293,Gyeonggi-105_rat-1,,Gyeonggi,105_rat,cwi,cwi,tɕ w i,,Ogura1944,,,^ c w i $,default,tS w i,i tS w
1294,Gyeonggi-81_meatflesh-1,,Gyeonggi,81_meatflesh,sal,sal,s a l,,Ogura1944,,,^ s a l $,default,s a l,a l s
1295,Gyeonggi-37_fatgrease-1,,Gyeonggi,37_fatgrease,ki-rɨm,ki-rɨm,k i + ɾ ɨ m,,Ogura1944,,,^ k i - r ɨ m $,default,k i  r 3 m, 3 i k m r
1296,Gyeonggi-139_tail-1,,Gyeonggi,139_tail,k'o-ri,k'o-ri,k͈ o + ɾ i,,Ogura1944,,,^ k' o - r i $,default,k o  r i, i k o r
1297,Gyeonggi-130_snake-1,,Gyeonggi,130_snake,pɛ:-jam,pɛ:-jam,p ɛː + dʑ a m,,Ogura1944,,,^ p ɛ: - j a m $,default,p E  dZ a m, E a dZ m p
1298,Gyeonggi-243_wormearthworm-1,,Gyeonggi,243_wormearthworm,ci-reŋ-i,ci-reŋ-i,tɕ i + ɾ e ŋ + i,,Ogura1944,,,^ c i - r e ŋ - i $,default,tS i  r e N  i, N e i r tS
1299,Gyeonggi-78_louse-1,,Gyeonggi,78_louse,i,i,i,,Ogura1944,,,^ i $,default,i,i
