ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Guixian-3_star-1-1,Guixian-3_star-1,ɕin⁵⁵ɕju²¹³,6,false,expert,List2014d,,,
Xiamen-3_star-1-1,Xiamen-3_star-1,ʦʰĩ⁵⁵,6,false,expert,List2014d,,,
Hefei-3_star-1-1,Hefei-3_star-1,ɕin²¹,6,false,expert,List2014d,,,
Jinan-3_star-1-1,Jinan-3_star-1,ɕiŋ²¹³,6,false,expert,List2014d,,,
Hangzhou-3_star-1-1,Hangzhou-3_star-1,ɕin³³,6,false,expert,List2014d,,,
Guangzhou-3_star-1-1,Guangzhou-3_star-1,seŋ⁵⁵,6,false,expert,List2014d,,,
Nanchang-3_star-1-1,Nanchang-3_star-1,sjɑŋ⁴²ʦɿ⁰²,6,false,expert,List2014d,,,
Chengdu-3_star-1-1,Chengdu-3_star-1,ɕin⁵⁵ɕir⁵⁵,6,false,expert,List2014d,,,
Taiyuan-3_star-1-1,Taiyuan-3_star-1,ɕi¹¹ɕjəwiəu⁴⁵,6,false,expert,List2014d,,,
Shexian-3_star-1-1,Shexian-3_star-1,tʰe³¹sjʌ̃³¹,6,false,expert,List2014d,,,
Beijing-3_star-1-1,Beijing-3_star-1,ɕiŋ⁵⁵ɕiŋ²,6,false,expert,List2014d,,,
Kunming-3_star-1-1,Kunming-3_star-1,ɕĩ⁴⁴ɕjəwiəu²¹²,6,false,expert,List2014d,,,
Shanghai-3_star-1-1,Shanghai-3_star-1,ɕiŋ⁵³,6,false,expert,List2014d,,,
Meixian-4_thunderverb-1-1,Meixian-4_thunderverb-1,hjoŋ³¹lwi¹¹kuŋ⁴⁴,219,false,expert,List2014d,,,
Changsha-4_thunderverb-1-1,Changsha-4_thunderverb-1,ta⁴¹lej¹³,97,false,expert,List2014d,,,
Guixian-4_thunderverb-1-1,Guixian-4_thunderverb-1,ta⁴²lwejuei²¹,97,false,expert,List2014d,,,
Guixian-4_thunderverb-2-1,Guixian-4_thunderverb-2,xəw⁴²lwejuei²¹,360,false,expert,List2014d,,,
Xiamen-4_thunderverb-1-1,Xiamen-4_thunderverb-1,tan³⁵lwi,306,false,expert,List2014d,,,
Hefei-4_thunderverb-1-1,Hefei-4_thunderverb-1,ta²⁴le⁵⁵,97,false,expert,List2014d,,,
Jinan-4_thunderverb-1-1,Jinan-4_thunderverb-1,ta⁵⁵lwejuei⁴²,97,false,expert,List2014d,,,
Hangzhou-4_thunderverb-1-1,Hangzhou-4_thunderverb-1,tɑ⁵³lej²¹³,97,false,expert,List2014d,,,
Guangzhou-4_thunderverb-1-1,Guangzhou-4_thunderverb-1,haŋ²¹løɥ²¹,679,false,expert,List2014d,,,
Nanchang-4_thunderverb-1-1,Nanchang-4_thunderverb-1,hɛn²¹lwi⁴⁵,467,false,expert,List2014d,,,
Nanchang-4_thunderverb-2-1,Nanchang-4_thunderverb-2,tɑ²¹³lwi⁴⁵,97,false,expert,List2014d,,,
Chengdu-4_thunderverb-1-1,Chengdu-4_thunderverb-1,ta⁵³nwejuei³¹,97,false,expert,List2014d,,,
Chengdu-4_thunderverb-2-1,Chengdu-4_thunderverb-2,ɕjaŋ⁵³nwejuei³¹,219,false,expert,List2014d,,,
Taiyuan-4_thunderverb-1-1,Taiyuan-4_thunderverb-1,xjɒ̃⁵³xwəʔ²lwejuei¹¹,219,false,expert,List2014d,,,
Shexian-4_thunderverb-1-1,Shexian-4_thunderverb-1,ta³⁵pʰɛ²¹lɛ,934,false,expert,List2014d,,,
Shexian-4_thunderverb-2-1,Shexian-4_thunderverb-2,ta³⁵tʰe³¹lɛ⁴⁴,97,false,expert,List2014d,,,
Beijing-4_thunderverb-1-1,Beijing-4_thunderverb-1,ta²¹⁴lej³⁵,97,false,expert,List2014d,,,
Kunming-4_thunderverb-1-1,Kunming-4_thunderverb-1,ʂə̃⁴⁴lwejuei³¹,1088,false,expert,List2014d,,,
Shanghai-4_thunderverb-1-1,Shanghai-4_thunderverb-1,le¹³ɕjã³⁴,219,false,expert,List2014d,,,
Shanghai-4_thunderverb-2-1,Shanghai-4_thunderverb-2,tã³⁵le²³,97,false,expert,List2014d,,,
Changsha-5_flashverb-1-1,Changsha-5_flashverb-1,t͡ʂʰʅ⁴¹ʂə̃⁴¹,885,false,expert,List2014d,,,
Guixian-5_flashverb-1-1,Guixian-5_flashverb-1,xo⁴²san⁴²,291,false,expert,List2014d,,,
Guixian-5_flashverb-2-1,Guixian-5_flashverb-2,ʦʰej⁴²xo⁴²san⁴²,885,false,expert,List2014d,,,
Hefei-5_flashverb-1-1,Hefei-5_flashverb-1,ta²⁴ʂən²⁴,86,false,expert,List2014d,,,
Jinan-5_flashverb-1-1,Jinan-5_flashverb-1,ta⁵⁵ʂã⁵⁵,86,false,expert,List2014d,,,
Hangzhou-5_flashverb-1-1,Hangzhou-5_flashverb-1,hwoʔ⁵sɥõ⁵³,18,false,expert,List2014d,,,
Guangzhou-5_flashverb-1-1,Guangzhou-5_flashverb-1,sim³⁵tin²²,86,false,expert,List2014d,,,
Guangzhou-5_flashverb-2-1,Guangzhou-5_flashverb-2,sip³tin²²,525,false,expert,List2014d,,,
Nanchang-5_flashverb-1-1,Nanchang-5_flashverb-1,tɑ²¹³fɔʔ⁵sɛn⁰²,18,false,expert,List2014d,,,
Chengdu-5_flashverb-1-1,Chengdu-5_flashverb-1,xo⁵³san⁵³,291,false,expert,List2014d,,,
Taiyuan-5_flashverb-1-1,Taiyuan-5_flashverb-1,ta⁵³sæ̃⁵³,86,false,expert,List2014d,,,
Shexian-5_flashverb-1-1,Shexian-5_flashverb-1,ta³⁵ne²²ɕɥe³²⁴,86,false,expert,List2014d,,,
Shexian-5_flashverb-2-1,Shexian-5_flashverb-2,ʨʰja³⁵ne²²ɕɥe³²⁴,885,false,expert,List2014d,,,
Beijing-5_flashverb-1-1,Beijing-5_flashverb-1,ʂan²¹⁴tjan⁵¹,86,false,expert,List2014d,,,
Kunming-5_flashverb-1-1,Kunming-5_flashverb-1,t͡ʂʰə⁵³ʂᴀ̃⁵³,885,false,expert,List2014d,,,
Shanghai-5_flashverb-1-1,Shanghai-5_flashverb-1,hoʔ⁵ɕi³⁵,1105,false,expert,List2014d,,,
Shanghai-5_flashverb-2-1,Shanghai-5_flashverb-2,sø³⁵di¹³,86,false,expert,List2014d,,,
