,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,LoanSource,asjp_forms,asjp_segs
0,Stieng-1_all-1,,Stieng,1_all,lɛʔ,lɛʔ,l ɛ ʔ,,Peiros2004a,,False,^ l ɛ ʔ $,default,,l E 7,7 E l
1,Chrau-1_all-1,,Chrau,1_all,lɛʔ lawʌn,lɛʔ lawʌn,l ɛ ʔ + l a w ʌ n,,Peiros2004a,,False,^ l ɛ ʔ + l a w ʌ n $,default,,l E 7  l a w o n, 7 E a l n o w
2,MRolom-1_all-1,,MRolom,1_all,lɛ mət,lɛ mət,l ɛ + m ə t,,Peiros2004a,,False,^ l ɛ + m ə t $,default,,l E  m 3 t, 3 E l m t
3,MBunong-1_all-1,,MBunong,1_all,lɛʔ rŋoc,lɛʔ rŋoc,l ɛ ʔ + r ŋ o c/ts,,Peiros2004a,,False,^ l ɛ ʔ + r ŋ o c$,default,,l E 7  r N o T ts, 7 E N T l o r ts
4,MDip-1_all-1,,MDip,1_all,dɨŋ ndə,dɨŋ ndə,d ɨ ŋ + nd/ⁿd ə,,Peiros2004a,,False,^ d ɨ ŋ + nd ə $,default,,d 3 N  nd nd 3, 3 N d nd
5,Ma1-1_all-1,,Ma1,1_all,thuj,thuj,th/tʰ u j,,Peiros2004a,,False,^ th u j $,default,,th th~ u y,th th~ u y
6,Ma2-1_all-1,,Ma2,1_all,sweh,sweh,sw/sʷ e h,,Peiros2004a,,False,^sw e h $,default,,sw sw~ e h,e h sw sw~
7,Sre-1_all-1,,Sre,1_all,ʒəh,ʒəh,dʑ ə h,,Peiros2004a,,False,^ ʒ ə h $,default,,dZ 3 h,3 dZ h
8,KahoChil-1_all-1,,KahoChil,1_all,ʒəh ʔalaʔ,ʒəh ʔalaʔ,dʑ ə h + ʔ a l a ʔ,,Peiros2004a,,False,^ ʒ ə h + ʔ a l a ʔ $,default,,dZ 3 h  7 a l a 7, 3 7 a dZ h l
9,KorCua-1_all-1,,KorCua,1_all,kaluh,kaluh,k a l u h,,Peiros2004a,,False,^ k a l u h $,default,,k a l u h,a h k l u
10,Hadang-1_all-1,,Hadang,1_all,khu,khu,kh/kʰ u,,Peiros2004a,,False,^ kh u $,default,,kh kh~ u,kh kh~ u
11,Hre-1_all-1,,Hre,1_all,diʔ.L dɔŋ,diʔ.L dɔŋ,d i ʔ L/⁵⁵ + d ɔ ŋ,,Peiros2004a,,False,^ d i ʔ .L + d ɔ ŋ $,default,,d i 7   d o N, 7 N d i o
12,Rengao-1_all-1,,Rengao,1_all,diʔ.T daŋ.L,diʔ.T daŋ.L,d i ʔ T/¹⁵ + d a ŋ L/⁵⁵,,Peiros2004a,,False,^ d i ʔ .T + d a ŋ .L$,default,,d i 7   d a N , 7 N a d i
13,Didra-1_all-1,,Didra,1_all,diʔ.L dəgŋ.L,diʔ.L dəgŋ.L,d i ʔ L/⁵⁵ + d ə g ŋ L/⁵⁵,,Peiros2004a,,False,^ d i ʔ .L + d ə g ŋ .L$,default,,d i 7   d 3 g N , 3 7 N d g i
14,Sedang-1_all-1,,Sedang,1_all,tum.T,tum.T,t u m T/¹⁵,,Peiros2004a,,False,^ t u m .T$,default,,t u m , m t u
15,Panong-1_all-1,,Panong,1_all,kaloh,kaloh,k a l o h,,Peiros2004a,,False,^ k a l o h $,default,,k a l o h,a h k l o
16,Halang-1_all-1,,Halang,1_all,sit,sit,s i t,,Peiros2004a,,False,^ s i t $,default,,s i t,i s t
17,Jeh-1_all-1,,Jeh,1_all,niʔ.T najh.T,niʔ.T najh.T,n i ʔ T/¹⁵ + n a dʒʰ T/¹⁵,,Peiros2004a,,True,^ n i ʔ .T + n a jh .T$,default,KATU,n i 7   n a dZh~ , 7 a dZh~ i n
18,Veh-1_all-1,,Veh,1_all,lam,lam,l a m,,Peiros2004a,,False,^ l a m $,default,,l a m,a l m
19,Je-1_all-1,,Je,1_all,bal.33 haj.33,bal.33 haj.33,b a l ³³ + h a j ³³,,Peiros2004a,,False,^ b a l .33 + h a j .33 $,default,,b a l   h a y , a b h l y
20,Arak-1_all-1,,Arak,1_all,hoc,hoc,h o c/ts,,Peiros2004a,,False,^ h o c$,default,,h o T ts,T h o ts
21,Bahnar-1_all-1,,Bahnar,1_all,dap,dap,d a p,,Peiros2004a,,False,^ d a p $,default,,d a p,a d p
22,Tempuan-1_all-1,,Tempuan,1_all,tiʔ,tiʔ,t i ʔ,,Peiros2004a,,False,^ t i ʔ $,default,,t i 7,7 i t
23,Oy-1_all-1,,Oy,1_all,toc,toc,t o c/ts,,Peiros2004a,,False,^ t o c$,default,,t o T ts,T o t ts
24,Nhaheun-1_all-1,,Nhaheun,1_all,toc,toc,t o c/ts,,Peiros2004a,,False,^ t o c$,default,,t o T ts,T o t ts
25,Jru-1_all-1,,Jru,1_all,toc ʔŋiaʔ,toc ʔŋiaʔ,t o c + ʔ ŋ ia ʔ,,Peiros2004a,,False,^ t o c + ʔ ŋ ia ʔ $,default,,t o T  7 N ia 7, 7 N T ia o t
26,Tariang-1_all-1,,Tariang,1_all,gəluc,gəluc,g ə l u c/ts,,Peiros2004a,,False,^ g ə l u c$,default,,g 3 l u T ts,3 T g l ts u
27,Kantu-1_all-1,,Kantu,1_all,ʔape,ʔape,ʔ a p e,,Peiros2004a,,False,^ ʔ a p e $,default,,7 a p e,7 a e p
28,Katu-1_all-1,,Katu,1_all,ʔap,ʔap,ʔ a p,,Peiros2004a,,False,^ ʔ a p $,default,,7 a p,7 a p
29,Dakkang-1_all-1,,Dakkang,1_all,həre luk,həre luk,h ə r e + l u k,,Peiros2004a,,False,^ h ə r e + l u k $,default,,h 3 r e  l u k, 3 e h k l r u
30,LaoKatu-1_all-1,,LaoKatu,1_all,cuŋ,cuŋ,c/ts u ŋ,,Peiros2004a,,False,^c u ŋ $,default,,T ts u N,N T ts u
31,Taoih-1_all-1,,Taoih,1_all,ʔəiʔ,ʔəiʔ,ʔ əi ʔ,,Peiros2004a,,False,^ ʔ əi ʔ $,default,,7 3i 7,3i 7
32,Ong-1_all-1,,Ong,1_all,paŋ ʔəjʔ,paŋ ʔəjʔ,p a ŋ + ʔ ə j ʔ,,Peiros2004a,,False,^ p a ŋ + ʔ ə j ʔ $,default,,p a N  7 3 y 7, 3 7 N a p y
33,Taoi-1_all-1,,Taoi,1_all,ʔəjʔ.A sɔŋ.A,ʔəjʔ.A sɔŋ.A,ʔ ə j ʔ A/³⁴ + s ɔ ŋ A/¹,,Peiros2004a,,False,^ ʔ ə j ʔ .A + s ɔ ŋ .A$,default,,7 3 y 7   s o N , 3 7 N o s y
34,Nge-1_all-1,,Nge,1_all,toc,toc,t o c/ts,,Peiros2004a,,True,^ t o c$,default,W.BAH(?),t o T ts,T o t ts
35,Kui-1_all-1,,Kui,1_all,chim.B,chim.B,ch/tsʰ i m B/²,,Peiros2004a,,False,^ch i m .B$,default,,Th tsh~ i m , Th i m tsh~
36,Neu-1_all-1,,Neu,1_all,thəŋsim,thəŋsim,th/tʰ ə ŋ + s i m,,Peiros2004a,,False,^ th ə ŋs i m $,default,,th th~ 3 N  s i m, 3 N i m s th th~
37,Bru-1_all-1,,Bru,1_all,pəbət,pəbət,p ə b ə t,,Peiros2004a,,False,^ p ə b ə t $,default,,p 3 b 3 t,3 b p t
38,Mak-1_all-1,,Mak,1_all,ɛtɲɛʔ,ɛtɲɛʔ,ɛ t ɲ ɛ ʔ,,Peiros2004a,,False,^ ɛ t ɲ ɛ ʔ $,default,,E t 5 E 7,5 7 E t
39,So-1_all-1,,So,1_all,ɲiʔ,ɲiʔ,ɲ i ʔ,,Peiros2004a,,False,^ ɲ i ʔ $,default,,5 i 7,5 7 i
40,Tri-1_all-1,,Tri,1_all,ɲɛʔ,ɲɛʔ,ɲ ɛ ʔ,,Peiros2004a,,False,^ ɲ ɛ ʔ $,default,,5 E 7,5 7 E
41,Nyakur-1_all-1,,Nyakur,1_all,thaŋ.2,thaŋ.2,th/tʰ a ŋ ²,,Peiros2004a,,True,^ th a ŋ .2$,default,KMR,th th~ a N , N a th th~
42,Mon-1_all-1,,Mon,1_all,paʔuit,paʔuit,p a ʔ ui t,,Peiros2004a,,False,^ p a ʔ ui t $,default,,p a 7 ui t,7 a p t ui
43,Semelai-1_all-1,,Semelai,1_all,səbəroh,səbəroh,s ə b ə r o h,,Peiros2004a,,False,^ s ə b ə r o h $,default,,s 3 b 3 r o h,3 b h o r s
44,SemoqBeri-1_all-1,,SemoqBeri,1_all,nahroh,nahroh,n a h r o h,,Peiros2004a,,False,^ n a h r o h $,default,,n a h r o h,a h n o r
45,Kensiw-1_all-1,,Kensiw,1_all,sʌdn mwãʔ,sʌdn mwãʔ,s ʌ d n + m w ã ʔ,,Peiros2004a,,False,^ s ʌ d n + m w ã ʔ $,default,,s o d n  m w a* 7, 7 a* d m n o s w
46,Jahai-1_all-1,,Jahai,1_all,səmwɛj,səmwɛj,s ə m w ɛ j,,Peiros2004a,,False,^ s ə m w ɛ j $,default,,s 3 m w E y,3 E m s w y
47,Semai-1_all-1,,Semai,1_all,dic,dic,d i c/ts,,Peiros2004a,,False,^ d i c$,default,,d i T ts,T d i ts
48,Temiar-1_all-1,,Temiar,1_all,kemböh,kemböh,k e m b ö/o h,,Peiros2004a,,False,^ k e m b ö h $,default,,k e m b o o h,b e h k m o
49,Khmer-1_all-1,,Khmer,1_all,daŋ,daŋ,d a ŋ,,Peiros2004a,,False,^ d a ŋ $,default,,d a N,N a d
50,KSurin-1_all-1,,KSurin,1_all,tâŋ ʔâh,tâŋ ʔâh,t â/a ŋ + ʔ â/a h,,Peiros2004a,,False,^ t â ŋ + ʔ â h $,default,,t a a N  7 a a h, 7 N a h t
51,ChongH-1_all-1,,ChongH,1_all,taŋ.B at.A,taŋ.B at.A,t a ŋ B/² + a t A/¹,,Peiros2004a,,True,^ t a ŋ .B + a t .A$,default,KMR,t a N   a t , N a t
52,Chong-1_all-1,,Chong,1_all,thaŋ.C at.A,thaŋ.C at.A,th/tʰ a ŋ C/³ + a t A/¹,,Peiros2004a,,False,^ th a ŋ .C + a t .A$,default,,th th~ a N   a t , N a t th th~
53,Kasong-1_all-1,,Kasong,1_all,thaŋ.E ot.C,thaŋ.E ot.C,th/tʰ a ŋ E/⁵ + o t C/³,,Peiros2004a,,False,^ th a ŋ .E + o t .C$,default,,th th~ a N   o t , N a o t th th~
54,Samre-1_all-1,,Samre,1_all,thaŋ.C at.A,thaŋ.C at.A,th/tʰ a ŋ C/³ + a t A/¹,,Peiros2004a,,False,^ th a ŋ .C + a t .A$,default,,th th~ a N   a t , N a t th th~
55,PhongV-1_all-1,,PhongV,1_all,ka.44 het.21,ka.44 het.21,k a ⁴⁴ + h e t ²¹,,Peiros2004a,,False,^ k a .44 + h e t .21 $,default,,k a   h e t , a e h k t
56,Tuum-1_all-1,,Tuum,1_all,ka.212 het.212,ka.212 het.212,k a ²¹² + h e t ²¹²,,Peiros2004a,,False,^ k a .212 + h e t .212 $,default,,k a   h e t , a e h k t
57,Liha-1_all-1,,Liha,1_all,ka.34 het.34,ka.34 het.34,k a ³⁴ + h e t ³⁴,,Peiros2004a,,False,^ k a .34 + h e t .34 $,default,,k a   h e t , a e h k t
58,Cuoi-1_all-1,,Cuoi,1_all,mɔj.31,mɔj.31,m ɔ j ³¹,,Peiros2004a,,False,^ m ɔ j .31 $,default,,m o y , m o y
59,Vietnamese-1_all-1,,Vietnamese,1_all,caʔ,caʔ,c/ts a ʔ,,Peiros2004a,,False,^c a ʔ $,default,,T ts a 7,7 T a ts
60,MuongKoi-1_all-1,,MuongKoi,1_all,ka.4,ka.4,k a ⁴,,Peiros2004a,,False,^ k a .4$,default,,k a , a k
61,ThoMon-1_all-1,,ThoMon,1_all,mɔj.343ʔ,mɔj.343ʔ,m ɔ j ³⁴³ˀ/³⁴³,,Peiros2004a,,False,^ m ɔ j .343ʔ $,default,,m o y , m o y
62,Ruc-1_all-1,,Ruc,1_all,hit.3,hit.3,h i t ³,,Peiros2004a,,False,^ h i t .3$,default,,h i t , h i t
63,KhaPhong-1_all-1,,KhaPhong,1_all,suon.33,suon.33,s uo n ³³,,Peiros2004a,,False,^ s uo n .33 $,default,,s uo n , n s uo
64,Malieng-1_all-1,,Malieng,1_all,bən.224,bən.224,b ə n ²²⁴,,Peiros2004a,,False,^ b ə n .224$,default,,b 3 n , 3 b n
65,ThavungSo-1_all-1,,ThavungSo,1_all,hɨt.1,hɨt.1,h ɨ t ¹,,Peiros2004a,,False,^ h ɨ t .1$,default,,h 3 t , 3 h t
66,Mang-1_all-1,,Mang,1_all,plaŋ.51 plöʔ.35,plaŋ.51 plöʔ.35,p l a ŋ ⁵¹ + p l ö/o ʔ ³⁵,,Peiros2004a,,False,^ p l a ŋ .51 + p l ö ʔ .35 $,default,,p l a N   p l o o 7 , 7 N a l o p
67,Paliu-1_all-1,,Paliu,1_all,tu.33,tu.33,t u ³³,,Peiros2004a,,False,^ t u .33 $,default,,t u , t u
68,Bugan-1_all-1,,Bugan,1_all,khɔŋ.T.13,khɔŋ.T.13,kh/kʰ ɔ ŋ T/¹⁵ ¹³,,Peiros2004a,,False,^ kh ɔ ŋ .T .13 $,default,,kh kh~ o N  , N kh kh~ o
69,Khmu-1_all-1,,Khmu,1_all,sam,sam,s a m,,Peiros2004a,,False,^ s a m $,default,,s a m,a m s
70,KxinhMul-1_all-1,,KxinhMul,1_all,vien.45,vien.45,v ie n ⁴⁵,,Peiros2004a,,False,^ v ie n .45 $,default,,v ie n , ie n v
71,Ksinmul-1_all-1,,Ksinmul,1_all,ʔe,ʔe,ʔ e,,Peiros2004a,,False,^ ʔ e $,default,,7 e,7 e
72,Khang-1_all-1,,Khang,1_all,ʔan.32,ʔan.32,ʔ a n ³²,,Peiros2004a,,False,^ ʔ a n .32 $,default,,7 a n , 7 a n
73,Bit-1_all-1,,Bit,1_all,taŋkəm tə,taŋkəm tə,t a ŋ k ə m + t ə,,Peiros2004a,,False,^ t a ŋ k ə m + t ə $,default,,t a N k 3 m  t 3, 3 N a k m t
74,Mlabri-1_all-1,,Mlabri,1_all,pa tok,pa tok,p a + t o k,,Peiros2004a,,False,^ p a + t o k $,default,,p a  t o k, a k o p t
75,Pray-1_all-1,,Pray,1_all,mot pɨŋ,mot pɨŋ,m o t + p ɨ ŋ,,Peiros2004a,,False,^ m o t + p ɨ ŋ $,default,,m o t  p 3 N, 3 N m o p t
76,Iduh-1_all-1,,Iduh,1_all,daŋlɛʔ,daŋlɛʔ,d a ŋ l ɛ ʔ,,Peiros2004a,,False,^ d a ŋ l ɛ ʔ $,default,,d a N l E 7,7 E N a d l
77,Khamet-1_all-1,,Khamet,1_all,ko.35,ko.35,k o ³⁵,,Peiros2004a,,False,^ k o .35 $,default,,k o , k o
78,Khme-1_all-1,,Khme,1_all,tɨŋ.31 pɨt.33,tɨŋ.31 pɨt.33,t ɨ ŋ ³¹ + p ɨ t ³³,,Peiros2004a,,False,^ t ɨ ŋ .31 + p ɨ t .33 $,default,,t 3 N   p 3 t , 3 N p t
79,Shuangdiang-1_all-1,,Shuangdiang,1_all,c̣am.33 kauk.31,c̣am.33 kauk.31,c̣/ʈʂ a m ³³ + k au k ³¹,,Peiros2004a,,False,^c̣ a m .33 + k au k .31 $,default,,T tS a m   k au k , T a au k m tS
80,Yongde-1_all-1,,Yongde,1_all,ho.31 lɛn.51,ho.31 lɛn.51,h o ³¹ + l ɛ n ⁵¹,,Peiros2004a,,False,^ h o .31 + l ɛ n .51 $,default,,h o   l E n , E h l n o
81,Mangan-1_all-1,,Mangan,1_all,ćhaŋ.33 kɔk.33,ćhaŋ.33 kɔk.33,ćh/tɕʰ a ŋ ³³ + k ɔ k ³³,,Peiros2004a,,False,^ ćh a ŋ .33 + k ɔ k .33 $,default,,Th tSh~ a N   k o k , N Th a k o tSh~
82,Plang-1_all-1,,Plang,1_all,taŋ.31 ʔəik.51,taŋ.31 ʔəik.51,t a ŋ ³¹ + ʔ əi k ⁵¹,,Peiros2004a,,False,^ t a ŋ .31 + ʔ əi k .51 $,default,,t a N   7 3i k , 3i 7 N a k t
83,Wa-1_all-1,,Wa,1_all,khɔm.A ʔuik.A,khɔm.A ʔuik.A,kh/kʰ ɔ m A/³⁴ + ʔ ui k A/¹,,Peiros2004a,,False,^ kh ɔ m .A + ʔ ui k .A$,default,,kh kh~ o m   7 ui k , 7 k kh kh~ m o ui
84,Guanshuang-1_all-1,,Guanshuang,1_all,uik.1,uik.1,ui k ¹,,Peiros2004a,,False,^ ui k .1$,default,,ui k , k ui
85,Mane-1_all-1,,Mane,1_all,əik.1,əik.1,əi k ¹,,Peiros2004a,,False,^ əi k .1$,default,,3i k , 3i k
86,Deang-1_all-1,,Deang,1_all,pai tur,pai tǔr,p ai + t ǔ/u r,,Peiros2004a,,False,^ p ai + t ǔ r$,default,,p ai  t u u r, ai p r t u
87,Rumai-1_all-1,,Rumai,1_all,pa.55 pɛ.55 mɛh,pa.55 pɛ.55 mɛh,p a ⁵⁵ + p ɛ ⁵⁵ + m ɛ h,,Peiros2004a,,False,^ p a .55 + p ɛ .55 + m ɛ h $,default,,p a   p E   m E h, E a h m p
88,Khasi-1_all-1,,Khasi,1_all,baroh,baroh,b a r o h,,Peiros2004a,,False,^ b a r o h $,default,,b a r o h,a b h o r
89,Kharia-1_all-1,,Kharia,1_all,sab,sab,s a b,,Peiros2004a,,True,^ s a b $,default,IND,s a b,a b s
90,Juang-1_all-1,,Juang,1_all,sabroi,sabroi,s a b r oi,,Peiros2004a,,True,^ s a b r oi $,default,Hindi,s a b r oi,a b oi r s
91,Bonda-1_all-1,,Bonda,1_all,gulay,gulay,g u l a y,,Peiros2004a,,False,^ g u l a y $,default,,g u l a i,a g i l u
92,Sora-1_all-1,,Sora,1_all,kudub,kudub,k u d u b,,Peiros2004a,,False,^ k u d u b $,default,,k u d u b,b d k u
93,Parengi-1_all-1,,Parengi,1_all,sobu,sobu,s o b u,,Peiros2004a,,False,^ s o b u $,default,,s o b u,b o s u
94,Santali-1_all-1,,Santali,1_all,ʒoto,ʒoto,dʑ o t o,,Peiros2004a,,False,^ ʒ o t o $,default,,dZ o t o,dZ o t
95,Mundari-1_all-1,,Mundari,1_all,soben,soben,s o b e n,,Peiros2004a,,False,^ s o b e n $,default,,s o b e n,b e n o s
96,Korku-1_all-1,,Korku,1_all,par,par,p a r,,Peiros2004a,,False,^ p a r$,default,,p a r,a p r
97,Nancawri-1_all-1,,Nancawri,1_all,ʔum-túm,ʔum-túm,ʔ u m + t ú/u m,,Peiros2004a,,False,^ ʔ u m - t ú m $,default,,7 u m  t u u m, 7 m t u
98,MDip-1_all-2,,MDip,1_all,dɨŋ ndə,dɨŋ ndə,d ɨ ŋ + nd/ⁿd ə,,Peiros2004a,,False,^ d ɨ ŋ + nd ə $,default,,d 3 N  nd nd 3, 3 N d nd
99,Hre-1_all-2,,Hre,1_all,diʔ.L dɔŋ,diʔ.L dɔŋ,d i ʔ L/⁵⁵ + d ɔ ŋ,,Peiros2004a,,False,^ d i ʔ .L + d ɔ ŋ $,default,,d i 7   d o N, 7 N d i o
100,Rengao-1_all-2,,Rengao,1_all,diʔ.T daŋ.L,diʔ.T daŋ.L,d i ʔ T/¹⁵ + d a ŋ L/⁵⁵,,Peiros2004a,,False,^ d i ʔ .T + d a ŋ .L$,default,,d i 7   d a N , 7 N a d i
101,Didra-1_all-2,,Didra,1_all,diʔ.L dəgŋ.L,diʔ.L dəgŋ.L,d i ʔ L/⁵⁵ + d ə g ŋ L/⁵⁵,,Peiros2004a,,False,^ d i ʔ .L + d ə g ŋ .L$,default,,d i 7   d 3 g N , 3 7 N d g i
102,Plang-1_all-2,,Plang,1_all,taŋ.31 ʔəik.51,taŋ.31 ʔəik.51,t a ŋ ³¹ + ʔ əi k ⁵¹,,Peiros2004a,,False,^ t a ŋ .31 + ʔ əi k .51 $,default,,t a N   7 3i k , 3i 7 N a k t
103,Stieng-2_ashes-1,,Stieng,2_ashes,sə=ʔoɲ,sə=ʔoɲ,s ə + ʔ o ɲ,,Peiros2004a,,False,^ s ə = ʔ o ɲ $,default,,s 3  7 o 5, 3 5 7 o s
104,Chrau-2_ashes-1,,Chrau,2_ashes,buh,buh,b u h,,Peiros2004a,,False,^ b u h $,default,,b u h,b h u
105,MBunong-2_ashes-1,,MBunong,2_ashes,buh,buh,b u h,,Peiros2004a,,False,^ b u h $,default,,b u h,b h u
106,MDip-2_ashes-1,,MDip,2_ashes,buh,buh,b u h,,Peiros2004a,,False,^ b u h $,default,,b u h,b h u
107,Ma1-2_ashes-1,,Ma1,2_ashes,kəpur,kəpur,k ə p u r,,Peiros2004a,,False,^ k ə p u r$,default,,k 3 p u r,3 k p r u
108,Ma2-2_ashes-1,,Ma2,2_ashes,kəbhɔk,kəbhɔk,k ə bh/bʰ ɔ k,,Peiros2004a,,False,^ k ə bh ɔ k $,default,,k 3 bh bh~ o k,3 bh bh~ k o
109,Sre-2_ashes-1,,Sre,2_ashes,buh,buh,b u h,,Peiros2004a,,False,^ b u h $,default,,b u h,b h u
110,KahoChil-2_ashes-1,,KahoChil,2_ashes,kəbuh,kəbuh,k ə b u h,,Peiros2004a,,False,^ k ə b u h $,default,,k 3 b u h,3 b h k u
111,KorCua-2_ashes-1,,KorCua,2_ashes,blɔ,blɔ,b l ɔ,,Peiros2004a,,False,^ b l ɔ $,default,,b l o,b l o
112,Kadong-2_ashes-1,,Kadong,2_ashes,blwa,blwa,b lw/lʷ a,,Peiros2004a,,False,^ b lw a $,default,,b lw lw~ a,a b lw lw~
113,Hadang-2_ashes-1,,Hadang,2_ashes,plwa,plwa,p lw/lʷ a,,Peiros2004a,,False,^ p lw a $,default,,p lw lw~ a,a lw lw~ p
114,Hre-2_ashes-1,,Hre,2_ashes,blɔ tanuh.L,blɔ tanuh.L,b l ɔ + t a n u h L/⁵⁵,,Peiros2004a,,False,^ b l ɔ + t a n u h .L$,default,,b l o  t a n u h , a b h l n o t u
115,Rengao-2_ashes-1,,Rengao,2_ashes,blo.T,blo.T,b l o T/¹⁵,,Peiros2004a,,False,^ b l o .T$,default,,b l o , b l o
116,Didra-2_ashes-1,,Didra,2_ashes,blɔ,blɔ,b l ɔ,,Peiros2004a,,False,^ b l ɔ $,default,,b l o,b l o
117,Sedang-2_ashes-1,,Sedang,2_ashes,cɔi.T,cɔi.T,c/ts ɔi T/¹⁵,,Peiros2004a,,False,^c ɔi .T$,default,,T ts oi , T oi ts
118,Panong-2_ashes-1,,Panong,2_ashes,lɔaʔ,lɔaʔ,l ɔa ʔ,,Peiros2004a,,False,^ l ɔa ʔ $,default,,l oa 7,7 l oa
119,Halang-2_ashes-1,,Halang,2_ashes,luok,luok,l uo k,,Peiros2004a,,False,^ l uo k $,default,,l uo k,k l uo
120,Jeh-2_ashes-1,,Jeh,2_ashes,luŋ lok,luŋ lok,l u ŋ + l o k,,Peiros2004a,,False,^ l u ŋ + l o k $,default,,l u N  l o k, N k l o u
121,Veh-2_ashes-1,,Veh,2_ashes,blɔ,blɔ,b l ɔ,,Peiros2004a,,False,^ b l ɔ $,default,,b l o,b l o
122,Je-2_ashes-1,,Je,2_ashes,plɔ.33,plɔ.33,p l ɔ ³³,,Peiros2004a,,False,^ p l ɔ .33 $,default,,p l o , l o p
123,Arak-2_ashes-1,,Arak,2_ashes,pɦu,pɦu,pɦ/pʱ u,,Peiros2004a,,False,^pɦ u $,default,,ph p u,p ph u
124,Bahnar-2_ashes-1,,Bahnar,2_ashes,həjok,həjok,h ə j o k,,Peiros2004a,,False,^ h ə j o k $,default,,h 3 y o k,3 h k o y
125,Tempuan-2_ashes-1,,Tempuan,2_ashes,mhəw,mhəw,mh/m̥ ə w,,Peiros2004a,,False,^mh ə w $,default,,mh m 3 w,3 m mh w
126,Oy-2_ashes-1,,Oy,2_ashes,tuh,tuh,t u h,,Peiros2004a,,False,^ t u h $,default,,t u h,h t u
127,Nhaheun-2_ashes-1,,Nhaheun,2_ashes,bruk,bruk,b r u k,,Peiros2004a,,False,^ b r u k $,default,,b r u k,b k r u
128,Jru-2_ashes-1,,Jru,2_ashes,bruk,bruk,b r u k,,Peiros2004a,,False,^ b r u k $,default,,b r u k,b k r u
129,Tariang-2_ashes-1,,Tariang,2_ashes,blɔ,blɔ,b l ɔ,,Peiros2004a,,False,^ b l ɔ $,default,,b l o,b l o
130,Kantu-2_ashes-1,,Kantu,2_ashes,blɔ,blɔ,b l ɔ,,Peiros2004a,,False,^ b l ɔ $,default,,b l o,b l o
131,Katu-2_ashes-1,,Katu,2_ashes,bʔlɔ,bʔlɔ,b ʔ l ɔ,,Peiros2004a,,False,^ b ʔ l ɔ $,default,,b 7 l o,7 b l o
132,Dakkang-2_ashes-1,,Dakkang,2_ashes,blɔ,blɔ,b l ɔ,,Peiros2004a,,False,^ b l ɔ $,default,,b l o,b l o
133,Pakoh-2_ashes-1,,Pakoh,2_ashes,ʔəbɔh,ʔəbɔh,ʔ ə b ɔ h,,Peiros2004a,,False,^ ʔ ə b ɔ h $,default,,7 3 b o h,3 7 b h o
134,Taoih-2_ashes-1,,Taoih,2_ashes,bɔh,bɔh,b ɔ h,,Peiros2004a,,False,^ b ɔ h $,default,,b o h,b h o
135,Ong-2_ashes-1,,Ong,2_ashes,bɔh.B,bɔh.B,b ɔ h B/²,,Peiros2004a,,False,^ b ɔ h .B$,default,,b o h , b h o
136,Taoi-2_ashes-1,,Taoi,2_ashes,bɔ.C,bɔ.C,b ɔ C/³,,Peiros2004a,,False,^ b ɔ .C$,default,,b o , b o
137,Nge-2_ashes-1,,Nge,2_ashes,bɔh,bɔh,b ɔ h,,Peiros2004a,,False,^ b ɔ h $,default,,b o h,b h o
138,Kui-2_ashes-1,,Kui,2_ashes,phâʔ.N,phâʔ.N,ph/pʰ â/a ʔ N/⁵,,Peiros2004a,,False,^ ph â ʔ .N$,default,,ph ph~ a a 7 , 7 a ph ph~
139,Neu-2_ashes-1,,Neu,2_ashes,phâʔ,phâʔ,ph/pʰ â/a ʔ,,Peiros2004a,,False,^ ph â ʔ $,default,,ph ph~ a a 7,7 a ph ph~
140,Bru-2_ashes-1,,Bru,2_ashes,bâh.N,bâh.N,b â/a h N/⁵,,Peiros2004a,,False,^ b â h .N$,default,,b a a h , a b h
141,BruVK-2_ashes-1,,BruVK,2_ashes,bâh,bâh,b â/a h,,Peiros2004a,,False,^ b â h $,default,,b a a h,a b h
142,Mak-2_ashes-1,,Mak,2_ashes,bɔʯ,bɔʯ,b ɔ ʯ,,Peiros2004a,,False,^ b ɔ ʯ$,default,,b o,b o
143,Tri-2_ashes-1,,Tri,2_ashes,bɔʌh,bɔʌh,b ɔ ʌ h,,Peiros2004a,,False,^ b ɔ ʌ h $,default,,b o o h,b h o
144,Nyakur-2_ashes-1,,Nyakur,2_ashes,pətiɲ.1,pətiɲ.1,p ə t i ɲ ¹,,Peiros2004a,,False,^ p ə t i ɲ .1$,default,,p 3 t i 5 , 3 5 i p t
145,Mon-2_ashes-1,,Mon,2_ashes,pateŋ,pateŋ,p a t e ŋ,,Peiros2004a,,False,^ p a t e ŋ $,default,,p a t e N,N a e p t
146,Semelai-2_ashes-1,,Semelai,2_ashes,habuʔ,habuʔ,h a b u ʔ,,Peiros2004a,,True,^ h a b u ʔ $,default,MALAY,h a b u 7,7 a b h u
147,SemoqBeri-2_ashes-1,,SemoqBeri,2_ashes,təpəh,təpəh,t ə p ə h,,Peiros2004a,,False,^ t ə p ə h $,default,,t 3 p 3 h,3 h p t
148,Kensiw-2_ashes-1,,Kensiw,2_ashes,tapip,tapip,t a p i p,,Peiros2004a,,False,^ t a p i p $,default,,t a p i p,a i p t
