ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
russian-2_ashes-2,,russian,2_ashes,pʲepɪlʲ,pʲ.e.p.ɪ.lʲ,pʲ e p ɪ lʲ,,Starostin2005,,false,^ pʲ . e . p . ɪ . lʲ $,default
dutch-3_bark-1,,dutch,3_bark,bɑst,b.ɑ.s.t,b ɑ s t,,Starostin2005,,false,^ b . ɑ . s . t $,default
swedish-3_bark-1,,swedish,3_bark,barːk,b.a.rː.k,b a rː k,,Starostin2005,,false,^ b . a . rː . k $,default
english-3_bark-1,,english,3_bark,bɑːrk,b.ɑː.r.k,b ɑː r k,,Starostin2005,,true,^ b . ɑː . r . k $,default
german-3_bark-1,,german,3_bark,rɪndə,r.ɪ.n.d.ə,r ɪ n d ə,,Starostin2005,,false,^ r . ɪ . n . d . ə $,default
spanish-3_bark-1,,spanish,3_bark,koɾteθa,k.o.ɾ.t.e.θ.a,k o ɾ t e θ a,,Starostin2005,,false,^ k . o . ɾ . t . e . θ . a $,default
danish-3_bark-1,,danish,3_bark,bɑːg,b.ɑː.g,b ɑː g,,Starostin2005,,false,^ b . ɑː . g $,default
bulgarian-3_bark-1,,bulgarian,3_bark,kora,k.o.r.a,k o r a,,Starostin2005,,false,^ k . o . r . a $,default
greek-3_bark-1,,greek,3_bark,flios,f.l.io.s,f l i o s,,Starostin2005,,false,^ f . l . io . s $,default
armenian-3_bark-1,,armenian,3_bark,kɛʁɛv,k.ɛ.ʁ.ɛ.v,k ɛ ʁ ɛ v,,Starostin2005,,false,^ k . ɛ . ʁ . ɛ . v $,default
romanian-3_bark-1,,romanian,3_bark,skwarʦə,s.k.w.a.r.ʦ.ə,s k w a r ts ə,,Starostin2005,,false,^ s . k . w . a . r . ʦ . ə $,default
russian-3_bark-1,,russian,3_bark,kɐra,k.ɐ.r.a,k ɐ r a,,Starostin2005,,false,^ k . ɐ . r . a $,default
polish-3_bark-1,,polish,3_bark,kɔra,k.ɔ.r.a,k ɔ r a,,Starostin2005,,false,^ k . ɔ . r . a $,default
norwegian-3_bark-1,,norwegian,3_bark,bɑɾk,b.ɑ.ɾ.k,b ɑ ɾ k,,Starostin2005,,true,^ b . ɑ . ɾ . k $,default
french-3_bark-1,,french,3_bark,ekɔʁs,e.k.ɔ.ʁ.s,e k ɔ ʁ s,,Starostin2005,,false,^ e . k . ɔ . ʁ . s $,default
czech-3_bark-1,,czech,3_bark,kuːra,k.uː.r.a,k uː r a,,Starostin2005,,false,^ k . uː . r . a $,default
icelandic-3_bark-1,,icelandic,3_bark,bœrkʏr,b.œ.r.k.ʏ.r,b œ r k ʏ r,,Starostin2005,,false,^ b . œ . r . k . ʏ . r $,default
italian-3_bark-1,,italian,3_bark,korteʧʧa,k.o.r.t.e.ʧː.a,k o r t e tʃː a,,Starostin2005,,false,^ k . o . r . t . e . ʧː . a $,default
hindi-3_bark-1,,hindi,3_bark,ʧʰaːl,ʧʰ.aː.l,tʃʰ aː l,,Starostin2005,,false,^ ʧʰ . aː . l $,default
portuguese-3_bark-1,,portuguese,3_bark,kaʃkɐ,k.a.ʃ.k.ɐ,k a ʃ k ɐ,,Starostin2005,,false,^ k . a . ʃ . k . ɐ $,default
dutch-4_belly-1,,dutch,4_belly,bœyk,b.œy.k,b œy k,,Starostin2005,,false,^ b . œy . k $,default
swedish-4_belly-1,,swedish,4_belly,maːge,m.aː.g.e,m aː g e,,Starostin2005,,false,^ m . aː . g . e $,default
english-4_belly-1,,english,4_belly,bɛlɪ,b.ɛ.l.ɪ,b ɛ l ɪ,,Starostin2005,,false,^ b . ɛ . l . ɪ $,default
german-4_belly-1,,german,4_belly,baux,b.au.x,b au x,,Starostin2005,,false,^ b . au . x $,default
spanish-4_belly-1,,spanish,4_belly,bjentre,b.j.e.n.t.r.e,b j e n t r e,,Starostin2005,,false,^ b . j . e . n . t . r . e $,default
danish-4_belly-1,,danish,4_belly,ɔnʌliwˀ,ɔ.n.ʌ.l.i.wˀ,ɔ n ʌ l i wˀ,,Starostin2005,,false,^ ɔ . n . ʌ . l . i . wˀ $,default
bulgarian-4_belly-1,,bulgarian,4_belly,korɛm,k.o.r.ɛ.m,k o r ɛ m,,Starostin2005,,true,^ k . o . r . ɛ . m $,default
greek-4_belly-1,,greek,4_belly,ciʎa,c.i.ʎ.a,c i ʎ a,,Starostin2005,,false,^ c . i . ʎ . a $,default
romanian-4_belly-1,,romanian,4_belly,pənteʦe,p.ə.n.t.e.ʦ.e,p ə n t e ts e,,Starostin2005,,false,^ p . ə . n . t . e . ʦ . e $,default
russian-4_belly-1,,russian,4_belly,ʒɨvot,ʒ.ɨ.v.o.t,ʒ ɨ v o t,,Starostin2005,,false,^ ʒ . ɨ . v . o . t $,default
polish-4_belly-1,,polish,4_belly,bʒux,b.ʒ.u.x,b ʒ u x,,Starostin2005,,false,^ b . ʒ . u . x $,default
norwegian-4_belly-1,,norwegian,4_belly,mɑːgə,m.ɑː.g.ə,m ɑː g ə,,Starostin2005,,false,^ m . ɑː . g . ə $,default
french-4_belly-1,,french,4_belly,vɑ̃tʁ,v.ɑ̃.t.ʁ,v ɑ̃ t ʁ,,Starostin2005,,false,^ v . ɑ̃ . t . ʁ $,default
czech-4_belly-1,,czech,4_belly,brɪxo,b.r.ɪ.x.o,b r ɪ x o,,Starostin2005,,false,^ b . r . ɪ . x . o $,default
icelandic-4_belly-1,,icelandic,4_belly,kʰvɪːðʏr,kʰ.v.ɪː.ð.ʏ.r,kʰ v ɪː ð ʏ r,,Starostin2005,,false,^ kʰ . v . ɪː . ð . ʏ . r $,default
italian-4_belly-1,,italian,4_belly,panʧa,p.a.n.ʧ.a,p a n tʃ a,,Starostin2005,,false,^ p . a . n . ʧ . a $,default
hindi-4_belly-1,,hindi,4_belly,peːʈ,p.eː.ʈ,p eː ʈ,,Starostin2005,,true,^ p . eː . ʈ $,default
portuguese-4_belly-1,,portuguese,4_belly,vẽtrə,v.ẽ.t.r.ə,v ẽ t r ə,,Starostin2005,,false,^ v . ẽ . t . r . ə $,default
swedish-4_belly-2,,swedish,4_belly,buk,b.u.k,b u k,,Starostin2005,,false,^ b . u . k $,default
danish-4_belly-2,,danish,4_belly,mæːvə,m.æː.v.ə,m æː v ə,,Starostin2005,,false,^ m . æː . v . ə $,default
norwegian-4_belly-2,,norwegian,4_belly,bʉːk,b.ʉː.k,b ʉː k,,Starostin2005,,false,^ b . ʉː . k $,default
italian-4_belly-2,,italian,4_belly,vɛntre,v.ɛ.n.t.r.e,v ɛ n t r e,,Starostin2005,,false,^ v . ɛ . n . t . r . e $,default
portuguese-4_belly-2,,portuguese,4_belly,bɐʀigɐ,b.ɐ.ʀ.i.g.ɐ,b ɐ ʀ i g ɐ,,Starostin2005,,false,^ b . ɐ . ʀ . i . g . ɐ $,default
dutch-5_big-1,,dutch,5_big,xroːt,x.r.oː.t,x r oː t,,Starostin2005,,false,^ x . r . oː . t $,default
swedish-5_big-1,,swedish,5_big,stoːr,s.t.oː.r,s t oː r,,Starostin2005,,false,^ s . t . oː . r $,default
english-5_big-1,,english,5_big,bɪɡ,b.ɪ.ɡ,b ɪ ɡ,,Starostin2005,,false,^ b . ɪ . ɡ $,default
german-5_big-1,,german,5_big,ɡroːs,ɡ.r.oː.s,ɡ r oː s,,Starostin2005,,false,^ ɡ . r . oː . s $,default
spanish-5_big-1,,spanish,5_big,ɡɾande,ɡ.ɾ.a.n.d.e,ɡ ɾ a n d e,,Starostin2005,,false,^ ɡ . ɾ . a . n . d . e $,default
danish-5_big-1,,danish,5_big,sdoˀʁ,s.d.oˀ.ʁ,s d oˀ ʁ,,Starostin2005,,false,^ s . d . oˀ . ʁ $,default
bulgarian-5_big-1,,bulgarian,5_big,golʲam,g.o.lʲ.a.m,g o lʲ a m,,Starostin2005,,false,^ g . o . lʲ . a . m $,default
greek-5_big-1,,greek,5_big,meɣalos,m.e.ɣ.a.l.o.s,m e ɣ a l o s,,Starostin2005,,false,^ m . e . ɣ . a . l . o . s $,default
armenian-5_big-1,,armenian,5_big,mɛʦ,m.ɛ.ʦ,m ɛ ts,,Starostin2005,,false,^ m . ɛ . ʦ $,default
romanian-5_big-1,,romanian,5_big,mare,m.a.r.e,m a r e,,Starostin2005,,false,^ m . a . r . e $,default
russian-5_big-1,,russian,5_big,bɐlʲʃoj,b.ɐ.lʲ.ʃ.o.j,b ɐ lʲ ʃ o j,,Starostin2005,,false,^ b . ɐ . lʲ . ʃ . o . j $,default
polish-5_big-1,,polish,5_big,vʲɛlki,vʲ.ɛ.l.k.i,vʲ ɛ l k i,,Starostin2005,,false,^ vʲ . ɛ . l . k . i $,default
norwegian-5_big-1,,norwegian,5_big,stuːɾ,s.t.uː.ɾ,s t uː ɾ,,Starostin2005,,true,^ s . t . uː . ɾ $,default
french-5_big-1,,french,5_big,ɡʁã,ɡ.ʁ.ã,ɡ ʁ ã,,Starostin2005,,false,^ ɡ . ʁ . ã $,default
czech-5_big-1,,czech,5_big,vɛlkiː,v.ɛ.l.k.iː,v ɛ l k iː,,Starostin2005,,false,^ v . ɛ . l . k . iː $,default
icelandic-5_big-1,,icelandic,5_big,stouːr,s.t.ouː.r,s t ouː r,,Starostin2005,,false,^ s . t . ouː . r $,default
italian-5_big-1,,italian,5_big,ɡrande,ɡ.r.a.n.d.e,ɡ r a n d e,,Starostin2005,,false,^ ɡ . r . a . n . d . e $,default
hindi-5_big-1,,hindi,5_big,bəɽaː,b.ə.ɽ.aː,b ə ɽ aː,,Starostin2005,,false,^ b . ə . ɽ . aː $,default
portuguese-5_big-1,,portuguese,5_big,grɐ̃də,g.r.ɐ̃.d.ə,g r ɐ̃ d ə,,Starostin2005,,false,^ g . r . ɐ̃ . d . ə $,default
english-5_big-2,,english,5_big,ɡreɪt,ɡ.r.eɪ.t,ɡ r eɪ t,,Starostin2005,,false,^ ɡ . r . eɪ . t $,default
polish-5_big-2,,polish,5_big,duʒɨ,d.u.ʒ.ɨ,d u ʒ ɨ,,Starostin2005,,false,^ d . u . ʒ . ɨ $,default
icelandic-5_big-2,,icelandic,5_big,mɪːcɪt͡l,m.ɪː.c.ɪ.t͡l,m ɪː c ɪ tˡ,,Starostin2005,,false,^ m . ɪː . c . ɪ . t͡l $,default
dutch-6_bird-1,,dutch,6_bird,voːɣəl,v.oː.ɣ.ə.l,v oː ɣ ə l,,Starostin2005,,false,^ v . oː . ɣ . ə . l $,default
swedish-6_bird-1,,swedish,6_bird,foːgel,f.oː.g.e.l,f oː g e l,,Starostin2005,,false,^ f . oː . g . e . l $,default
english-6_bird-1,,english,6_bird,bɜːrd,b.ɜː.r.d,b ɜː r d,,Starostin2005,,false,^ b . ɜː . r . d $,default
german-6_bird-1,,german,6_bird,foːɡəl,f.oː.ɡ.ə.l,f oː ɡ ə l,,Starostin2005,,false,^ f . oː . ɡ . ə . l $,default
spanish-6_bird-1,,spanish,6_bird,paxaro,p.a.x.a.r.o,p a x a r o,,Starostin2005,,false,^ p . a . x . a . r . o $,default
danish-6_bird-1,,danish,6_bird,fuˀl,f.uˀ.l,f uˀ/u l,,Starostin2005,,false,^ f . uˀ . l $,default
bulgarian-6_bird-1,,bulgarian,6_bird,ptiʦə,p.t.i.ʦ.ə,p t i ts ə,,Starostin2005,,false,^ p . t . i . ʦ . ə $,default
greek-6_bird-1,,greek,6_bird,puli,p.u.l.i,p u l i,,Starostin2005,,true,^ p . u . l . i $,default
armenian-6_bird-1,,armenian,6_bird,tʰərʧʰun,tʰ.ə.r.ʧʰ.u.n,tʰ ə r tʃʰ u n,,Starostin2005,,false,^ tʰ . ə . r . ʧʰ . u . n $,default
romanian-6_bird-1,,romanian,6_bird,pasəre,p.a.s.ə.r.e,p a s ə r e,,Starostin2005,,false,^ p . a . s . ə . r . e $,default
russian-6_bird-1,,russian,6_bird,ptʲiʦə,p.tʲ.i.ʦ.ə,p tʲ i ts ə,,Starostin2005,,false,^ p . tʲ . i . ʦ . ə $,default
polish-6_bird-1,,polish,6_bird,ptak,p.t.a.k,p t a k,,Starostin2005,,false,^ p . t . a . k $,default
norwegian-6_bird-1,,norwegian,6_bird,fʉːl,f.ʉː.l,f ʉː l,,Starostin2005,,false,^ f . ʉː . l $,default
french-6_bird-1,,french,6_bird,wazo,w.a.z.o,w a z o,,Starostin2005,,false,^ w . a . z . o $,default
czech-6_bird-1,,czech,6_bird,ptaːk,p.t.aː.k,p t aː k,,Starostin2005,,false,^ p . t . aː . k $,default
icelandic-6_bird-1,,icelandic,6_bird,fʏkl,f.ʏ.k.l,f ʏ k l,,Starostin2005,,false,^ f . ʏ . k . l $,default
italian-6_bird-1,,italian,6_bird,uʧːɛllo,u.ʧː.ɛ.lː.o,u tʃː ɛ lː o,,Starostin2005,,false,^ u . ʧː . ɛ . lː . o $,default
hindi-6_bird-1,,hindi,6_bird,ʧɪɽɪyaː,ʧ.ɪ.ɽ.ɪyaː,tʃ ɪ ɽ ɪ y/ɥ aː,,Starostin2005,,true,^ ʧ . ɪ . ɽ . ɪyaː $,default
portuguese-6_bird-1,,portuguese,6_bird,avə,a.v.ə,a v ə,,Starostin2005,,false,^ a . v . ə $,default
spanish-6_bird-2,,spanish,6_bird,ave,a.v.e,a v e,,Starostin2005,,false,^ a . v . e $,default
portuguese-6_bird-2,,portuguese,6_bird,pasɐru,p.a.s.ɐ.r.u,p a s ɐ r u,,Starostin2005,,false,^ p . a . s . ɐ . r . u $,default
dutch-7_bite-1,,dutch,7_bite,bɛɪtə,b.ɛɪ.t.ə,b ɛɪ t ə,,Starostin2005,,false,^ b . ɛɪ . t . ə $,default
swedish-7_bite-1,,swedish,7_bite,biːta,b.iː.t.a,b iː t a,,Starostin2005,,false,^ b . iː . t . a $,default
english-7_bite-1,,english,7_bite,baɪt,b.aɪ.t,b aɪ t,,Starostin2005,,false,^ b . aɪ . t $,default
german-7_bite-1,,german,7_bite,baisən,b.ai.s.ə.n,b ai s ə n,,Starostin2005,,false,^ b . ai . s . ə . n $,default
spanish-7_bite-1,,spanish,7_bite,moɾðeɾ,m.o.ɾ.ð.e.ɾ,m o ɾ ð e ɾ,,Starostin2005,,false,^ m . o . ɾ . ð . e . ɾ $,default
danish-7_bite-1,,danish,7_bite,biːðə,b.iː.ð.ə,b iː ð ə,,Starostin2005,,false,^ b . iː . ð . ə $,default
bulgarian-7_bite-1,,bulgarian,7_bite,xəpa,x.ə.p.a,x ə p a,,Starostin2005,,false,^ x . ə . p . a $,default
greek-7_bite-1,,greek,7_bite,ðaŋɡono,ð.a.ŋ.ɡ.o.n.o,ð a ŋ ɡ o n o,,Starostin2005,,false,^ ð . a . ŋ . ɡ . o . n . o $,default
armenian-7_bite-1,,armenian,7_bite,kəʦɛl,k.ə.ʦ.ɛ.l,k ə ts ɛ l,,Starostin2005,,false,^ k . ə . ʦ . ɛ . l $,default
romanian-7_bite-1,,romanian,7_bite,muʃka,m.u.ʃ.k.a,m u ʃ k a,,Starostin2005,,false,^ m . u . ʃ . k . a $,default
russian-7_bite-1,,russian,7_bite,kusatʲ,k.u.s.a.tʲ,k u s a tʲ,,Starostin2005,,false,^ k . u . s . a . tʲ $,default
polish-7_bite-1,,polish,7_bite,ssaʨ,sː.a.ʨ,sː a tɕ,,Starostin2005,,false,^ sː . a . ʨ $,default
norwegian-7_bite-1,,norwegian,7_bite,biːtə,b.iː.t.ə,b iː t ə,,Starostin2005,,false,^ b . iː . t . ə $,default
french-7_bite-1,,french,7_bite,mɔʁdʁ,m.ɔ.ʁ.d.ʁ,m ɔ ʁ d ʁ,,Starostin2005,,false,^ m . ɔ . ʁ . d . ʁ $,default
czech-7_bite-1,,czech,7_bite,kowsat,k.o.w.s.a.t,k o w s a t,,Starostin2005,,false,^ k . o . w . s . a . t $,default
icelandic-7_bite-1,,icelandic,7_bite,piːta,p.iː.t.a,p iː t a,,Starostin2005,,false,^ p . iː . t . a $,default
italian-7_bite-1,,italian,7_bite,mɔrdere,m.ɔ.r.d.e.r.e,m ɔ r d e r e,,Starostin2005,,false,^ m . ɔ . r . d . e . r . e $,default
hindi-7_bite-1,,hindi,7_bite,kaːʈnaː,k.aː.ʈ.n.aː,k aː ʈ n aː,,Starostin2005,,false,^ k . aː . ʈ . n . aː $,default
portuguese-7_bite-1,,portuguese,7_bite,murder,m.u.r.d.e.r,m u r d e r,,Starostin2005,,false,^ m . u . r . d . e . r $,default
dutch-8_black-1,,dutch,8_black,zʋɑrt,z.ʋ.ɑ.r.t,z ʋ ɑ r t,,Starostin2005,,false,^ z . ʋ . ɑ . r . t $,default
swedish-8_black-1,,swedish,8_black,svartː,s.v.a.r.tː,s v a r tː,,Starostin2005,,false,^ s . v . a . r . tː $,default
english-8_black-1,,english,8_black,blæk,b.l.æ.k,b l æ k,,Starostin2005,,false,^ b . l . æ . k $,default
german-8_black-1,,german,8_black,ʃvart͡s,ʃ.v.a.r.t͡s,ʃ v a r ts,,Starostin2005,,false,^ ʃ . v . a . r . t͡s $,default
spanish-8_black-1,,spanish,8_black,neɣɾo,n.e.ɣ.ɾ.o,n e ɣ ɾ o,,Starostin2005,,false,^ n . e . ɣ . ɾ . o $,default
danish-8_black-1,,danish,8_black,sɒːd,s.ɒː.d,s ɒː d,,Starostin2005,,false,^ s . ɒː . d $,default
bulgarian-8_black-1,,bulgarian,8_black,ʧɛrɛn,ʧ.ɛ.r.ɛ.n,tʃ ɛ r ɛ n,,Starostin2005,,false,^ ʧ . ɛ . r . ɛ . n $,default
greek-8_black-1,,greek,8_black,mavros,m.a.v.r.o.s,m a v r o s,,Starostin2005,,false,^ m . a . v . r . o . s $,default
armenian-8_black-1,,armenian,8_black,sɛv,s.ɛ.v,s ɛ v,,Starostin2005,,false,^ s . ɛ . v $,default
romanian-8_black-1,,romanian,8_black,neɡru,n.e.ɡ.r.u,n e ɡ r u,,Starostin2005,,false,^ n . e . ɡ . r . u $,default
russian-8_black-1,,russian,8_black,ʧornɨj,ʧ.o.r.n.ɨ.j,tʃ o r n ɨ j,,Starostin2005,,false,^ ʧ . o . r . n . ɨ . j $,default
polish-8_black-1,,polish,8_black,ʧarnɨ,ʧ.a.r.n.ɨ,tʃ a r n ɨ,,Starostin2005,,false,^ ʧ . a . r . n . ɨ $,default
norwegian-8_black-1,,norwegian,8_black,sɔʈ,s.ɔ.ʈ,s ɔ ʈ,,Starostin2005,,false,^ s . ɔ . ʈ $,default
french-8_black-1,,french,8_black,nwaʁ,n.w.a.ʁ,n w a ʁ,,Starostin2005,,false,^ n . w . a . ʁ $,default
czech-8_black-1,,czech,8_black,ʧɛrniː,ʧ.ɛ.r.n.iː,tʃ ɛ r n iː,,Starostin2005,,false,^ ʧ . ɛ . r . n . iː $,default
icelandic-8_black-1,,icelandic,8_black,svar̥tʏr,s.v.a.r̥.t.ʏ.r,s v a r̥ t ʏ r,,Starostin2005,,false,^ s . v . a . r̥ . t . ʏ . r $,default
italian-8_black-1,,italian,8_black,nero,n.e.r.o,n e r o,,Starostin2005,,false,^ n . e . r . o $,default
hindi-8_black-1,,hindi,8_black,kaːlaː,k.aː.l.aː,k aː l aː,,Starostin2005,,false,^ k . aː . l . aː $,default
portuguese-8_black-1,,portuguese,8_black,pretu,p.r.e.t.u,p r e t u,,Starostin2005,,false,^ p . r . e . t . u $,default
dutch-9_blood-1,,dutch,9_blood,bluːt,b.l.uː.t,b l uː t,,Starostin2005,,false,^ b . l . uː . t $,default
swedish-9_blood-1,,swedish,9_blood,bloːd,b.l.oː.d,b l oː d,,Starostin2005,,false,^ b . l . oː . d $,default
english-9_blood-1,,english,9_blood,blʌd,b.l.ʌ.d,b l ʌ d,,Starostin2005,,false,^ b . l . ʌ . d $,default
german-9_blood-1,,german,9_blood,bluːt,b.l.uː.t,b l uː t,,Starostin2005,,false,^ b . l . uː . t $,default
spanish-9_blood-1,,spanish,9_blood,saŋɡɾe,s.a.ŋ.ɡ.ɾ.e,s a ŋ ɡ ɾ e,,Starostin2005,,false,^ s . a . ŋ . ɡ . ɾ . e $,default
danish-9_blood-1,,danish,9_blood,bloˀð,b.l.oˀ.ð,b l oˀ ð,,Starostin2005,,false,^ b . l . oˀ . ð $,default
bulgarian-9_blood-1,,bulgarian,9_blood,krɤf,k.r.ɤ.f,k r ɤ f,,Starostin2005,,false,^ k . r . ɤ . f $,default
greek-9_blood-1,,greek,9_blood,ema,e.m.a,e m a,,Starostin2005,,false,^ e . m . a $,default
armenian-9_blood-1,,armenian,9_blood,ɑɾɪun,ɑ.ɾ.ɪu.n,ɑ ɾ ɪ u n,,Starostin2005,,false,^ ɑ . ɾ . ɪu . n $,default
romanian-9_blood-1,,romanian,9_blood,sɨnʤe,s.ɨ.n.ʤ.e,s ɨ n dʒ e,,Starostin2005,,false,^ s . ɨ . n . ʤ . e $,default
russian-9_blood-1,,russian,9_blood,krofʲ,k.r.o.fʲ,k r o fʲ,,Starostin2005,,false,^ k . r . o . fʲ $,default
polish-9_blood-1,,polish,9_blood,krɛf,k.r.ɛ.f,k r ɛ f,,Starostin2005,,false,^ k . r . ɛ . f $,default
norwegian-9_blood-1,,norwegian,9_blood,bluː,b.l.uː,b l uː,,Starostin2005,,false,^ b . l . uː $,default
french-9_blood-1,,french,9_blood,sɑ̃,s.ɑ̃,s ɑ̃,,Starostin2005,,false,^ s . ɑ̃ $,default
czech-9_blood-1,,czech,9_blood,krɛf,k.r.ɛ.f,k r ɛ f,,Starostin2005,,false,^ k . r . ɛ . f $,default
