,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
36,Kinubi-3_bark-1,,Kinubi,3_bark,"*kokobo  lataka, (girifa)",*kokobo_lataka,k o k o b o l a t a k a,,Wellens2003,,,^* k o k o b o _ l a t a k a$,default,k o k o b o l a t a k a,a b k l o t
37,CentralArabic-4_belly-1,,CentralArabic,4_belly,batˁ n,batˁ_n,b a tˤ n,,Ratcliffe2021,,,^b a tˁ _ n$,default,b a t n,a b n t
38,MoroccanArabic-4_belly-1,,MoroccanArabic,4_belly,ker ʃ,ker_ʃ,k e r ʃ,,Harrell1962;Caubet1993,,,^k e r _ ʃ$,default,k e r S,S e k r
39,Maltese-4_belly-1,,Maltese,4_belly,zaʔʔ,zaʔʔ,z a ʔː,,Borg1997;Aquilina1965,,,^z a ʔʔ$,default,z a 7,7 a z
40,Cairene-4_belly-1,,Cairene,4_belly,batˁ n*,batˁ_n*,b a tˤ n,,AbdelMassih2009,,,^b a tˁ _ n *$,default,b a t n,a b n t
41,Damascene-4_belly-1,,Damascene,4_belly,batˁə n,batˁə_n,b a tˤ ə n,,Cowell2005,,,^b a tˁ ə _ n$,default,b a t 3 n,3 a b n t
42,Iraqi-4_belly-1,,Iraqi,4_belly,batˁi n,batˁi_n,b a tˤ i n,,Erwin1963,,,^b a tˁ i _ n$,default,b a t i n,a b i n t
43,Soukhne-4_belly-1,,Soukhne,4_belly,"batˁn , ʧarʃ",batˁn,b a tˤ n,,Behnstedt1994,,,^b a tˁ n$,default,b a t n,a b n t
44,AqraArbilArabic-4_belly-1,,AqraArbilArabic,4_belly,ʤoof,ʤoof,dʒ oː f,,Jastrow1990,,,^ʤ oo f$,default,dZ o f,dZ f o
45,CypriotArabic-4_belly-1,,CypriotArabic,4_belly,patn b-tˁ-  n,patn_b-tˁ-_n,p a t n b tˤ n,,Borg1985,,,^p a t n _ b - tˁ - _ n$,default,p a t n b t n,a b n p t
46,GulfArabic-4_belly-1,,GulfArabic,4_belly,batˤn,batˤn,b a tˤ n,,Qafisheh1975;Holes1990,,,^b a tˤ n$,default,b a t n,a b n t
47,YemeniticArabic-4_belly-1,,YemeniticArabic,4_belly,"batˁn , karʃ",batˁn,b a tˤ n,,Qafisheh1992,,,^b a tˁ n$,default,b a t n,a b n t
48,NigerianArabic-4_belly-1,,NigerianArabic,4_belly,kirʃ,kirʃ,k i r ʃ,,Owens1993;Kaye1982,,,^k i rʃ$,default,k i r S,S i k r
49,Buxari-4_belly-1,,Buxari,4_belly,batin,batin,b a t i n,,Zimmermann2002;Ratcliffe2005,,,^b a t i n$,default,b a t i n,a b i n t
