,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,Mawe-1_all-1,,Mawe,1_all,t o r a n i a,t o r a n i a,t o r a n i a,,11987;464078,,,,,t o r a n i a,a i n o r t
1,Mawe-2_arm-1,,Mawe,2_arm,m o p ɨ,m o p ɨ,m o p ɨ,,11987;464078,,,,,m o p 3,3 m o p
2,Mawe-3_arrow-1,,Mawe,3_arrow,m o r ɨ ʔ a,m o r ɨ ʔ a,m o r ɨ ʔ a,,11987;464078,,,,,m o r 3 7 a,3 7 a m o r
3,Mawe-4_ash-1,,Mawe,4_ash,ɨ w ɨ r u p,ɨ w ɨ r u p,ɨ w ɨ r u p,,11987;464078,,,,,3 w 3 r u p,3 p r u w
4,Mawe-5_axe-1,,Mawe,5_axe,ɨ w ɨ k a p,ɨ w ɨ k a p,ɨ w ɨ k a p,,11987;464078,,,,,3 w 3 k a p,3 a k p w
5,Mawe-6_back-1,,Mawe,6_back,a p e,a p e,a p e,,11987;464078,,,,,a p e,a e p
6,Mawe-7_badevil-1,,Mawe,7_badevil,i n a kʷ a t ʔ i,i n a kʷ a t ʔ i,i n a kʷ a t ʔ i,,11987;464078,,,,,i n a kw~ a t 7 i,7 a i kw~ n t
7,Mawe-8_bamboo-1,,Mawe,8_bamboo,a kʷ a r a,a kʷ a r a,a kʷ a r a,,11987;464078,,,,,a kw~ a r a,a kw~ r
8,Mawe-9_banana-1,,Mawe,9_banana,p a k u a,p a k u a,p a k u a,,11987;464078,,,,,p a k u a,a k p u
9,Mawe-10_basket-1,,Mawe,10_basket,h ɨ t,h ɨ t,h ɨ t,,11987;464078,,,,,h 3 t,3 h t
10,Mawe-11_bat-1,,Mawe,11_bat,h a k i ʔ i,h a k i ʔ i,h a k i ʔ i,,11987;464078,,,,,h a k i 7 i,7 a h i k
11,Mawe-12_bewrong-1,,Mawe,12_bewrong,a p a r a p,a p a r a p,a p a r a p,,11987;464078,,,,,a p a r a p,a p r
12,Mawe-13_beans-1,,Mawe,13_beans,k u m a n a,k u m a n a,k u m a n a,,11987;464078,,,,,k u m a n a,a k m n u
13,Mawe-15_belly-1,,Mawe,15_belly,p ɨ r u m ʔ a,p ɨ r u m ʔ a,p ɨ r u m ʔ a,,11987;464078,,,,,p 3 r u m 7 a,3 7 a m p r u
14,Mawe-16_break-1,,Mawe,16_break,w e j,w e j,w e j,,11987;464078,,,,,w e y,e w y
15,Mawe-17_big-1,,Mawe,17_big,w a t o,w a t o,w a t o,,11987;464078,,,,,w a t o,a o t w
16,Mawe-18_bird-1,,Mawe,18_bird,w ei t a,w ei t a,w ei t a,,11987;464078,,,,,w ei t a,a ei t w
17,Mawe-19_bite-1,,Mawe,19_bite,k a t u ʔ u,k a t u ʔ u,k a t u ʔ u,,11987;464078,,,,,k a t u 7 u,7 a k t u
18,Mawe-20_black-1,,Mawe,20_black,h u n,h u n,h u n,,11987;464078,,,,,h u n,h n u
19,Mawe-21_blow-1,,Mawe,21_blow,p e h u,p e h u,p e h u,,11987;464078,,,,,p e h u,e h p u
20,Mawe-22_bone-1,,Mawe,22_bone,k a ŋ,k a ŋ,k a ŋ,,11987;464078,,,,,k a N,N a k
21,Mawe-23_boy-1,,Mawe,23_boy,k u r u m,k u r u m,k u r u m,,11987;464078,,,,,k u r u m,k m r u
22,Mawe-24_branch-1,,Mawe,24_branch,e ŋ a,e ŋ a,e ŋ a,,11987;464078,,,,,e N a,N a e
23,Mawe-25_breast-1,,Mawe,25_breast,n a m,n a m,n a m,,11987;464078,,,,,n a m,a m n
24,Mawe-26_breathe-1,,Mawe,26_breathe,p ɨ h u,p ɨ h u,p ɨ h u,,11987;464078,,,,,p 3 h u,3 h p u
25,Mawe-27_burnintr-1,,Mawe,27_burnintr,a t i w u k,a t i w u k,a t i w u k,,11987;464078,,,,,a t i w u k,a i k t u w
26,Mawe-28_burntr-1,,Mawe,28_burntr,wu k,wu k,w u k,,11987;464078,,,,,w u k,k u w
27,Mawe-29_bury-1,,Mawe,29_bury,a t i ʔ a s ɨ p,a t i ʔ a s ɨ p,a t i ʔ a s ɨ p,,11987;464078,,,,,a t i 7 a s 3 p,3 7 a i p s t
28,Mawe-30_bush-1,,Mawe,30_bush,ŋ g a ʔ a p ɨ,ŋ g a ʔ a p ɨ,ŋ g a ʔ a p ɨ,,11987;464078,,,,,N g a 7 a p 3,3 7 N a g p
29,Mawe-31_butterfly-1,,Mawe,31_butterfly,m o r o p e ʔ i,m o r o p e ʔ i,m o r o p e ʔ i,,11987;464078,,,,,m o r o p e 7 i,7 e i m o p r
30,Mawe-32_cair-1,,Mawe,32_cair,ʔ a t,ʔ a t,ʔ a t,,11987;464078,,,,,7 a t,7 a t
31,Mawe-33_canoe-1,,Mawe,33_canoe,ja r a,ja r a,j a r a,,11987;464078,,,,,y a r a,a r y
32,Mawe-35_cloud-1,,Mawe,35_cloud,ɨ w ɨ h i ŋ,ɨ w ɨ h i ŋ,ɨ w ɨ h i ŋ,,11987;464078,,,,,3 w 3 h i N,3 N h i w
33,Mawe-36_coati-1,,Mawe,36_coati,m u s ĩ,m u s ĩ,m u s ĩ,,11987;464078,,,,,m u s i*,i* m s u
34,Mawe-37_come-1,,Mawe,37_come,o t,o t,o t,,11987;464078,,,,,o t,o t
35,Mawe-38_comb-1,,Mawe,38_comb,k ɨ w a,k ɨ w a,k ɨ w a,,11987;464078,,,,,k 3 w a,3 a k w
36,Mawe-39_corn-1,,Mawe,39_corn,a w a t i,a w a t i,a w a t i,,11987;464078,,,,,a w a t i,a i t w
37,Mawe-40_cotton-1,,Mawe,40_cotton,a m õ k i u s u ʔ a p,a m õ k i u s u ʔ a p,a m õ k i u s u ʔ a p,,11987;464078,,,,,a m o* k i u s u 7 a p,7 a i k m o* p s u
38,Mawe-41_cry-1,,Mawe,41_cry,w a k,w a k,w a k,,11987;464078,,,,,w a k,a k w
39,Mawe-42_cut-1,,Mawe,42_cut,a t i ʔ t e k,a t i ʔ t e k,a t i ʔ t e k,,11987;464078,,,,,a t i 7 t e k,7 a e i k t
40,Mawe-43_dance-1,,Mawe,43_dance,h a i r u,h a i r u,h a i r u,,11987;464078,,,,,h a i r u,a h i r u
41,Mawe-44_day-1,,Mawe,44_day,ʔ a t,ʔ a t,ʔ a t,,11987;464078,,,,,7 a t,7 a t
42,Mawe-45_defecate-1,,Mawe,45_defecate,h e p a i ʔ a,h e p a i ʔ a,h e p a i ʔ a,,11987;464078,,,,,h e p a i 7 a,7 a e h i p
43,Mawe-46_die-1,,Mawe,46_die,k u ʔ u r o,k u ʔ u r o,k u ʔ u r o,,11987;464078,,,,,k u 7 u r o,7 k o r u
44,Mawe-47_dirty-1,,Mawe,47_dirty,h a w i u,h a w i u,h a w i u,,11987;464078,,,,,h a w i u,a h i u w
45,Mawe-48_domake-1,,Mawe,48_domake,n u ŋ,n u ŋ,n u ŋ,,11987;464078,,,,,n u N,N n u
46,Mawe-50_dressup-1,,Mawe,50_dressup,s o k p e p a ŋ,s o k p e p a ŋ,s o k p e p a ŋ,,11987;464078,,,,,s o k p e p a N,N a e k o p s
47,Mawe-51_dry-1,,Mawe,51_dry,ŋ a ŋ,ŋ a ŋ,ŋ a ŋ,,11987;464078,,,,,N a N,N a
48,Mawe-52_drystate-1,,Mawe,52_drystate,ŋ a ŋ,ŋ a ŋ,ŋ a ŋ,,11987;464078,,,,,N a N,N a
49,Mawe-53_earthland-1,,Mawe,53_earthland,ɨ i,ɨ i,ɨ i,,11987;464078,,,,,3 i,3 i
50,Mawe-55_enter-1,,Mawe,55_enter,e k e,e k e,e k e,,11987;464078,,,,,e k e,e k
51,Mawe-56_eye-1,,Mawe,56_eye,e h a,e h a,e h a,,11987;464078,,,,,e h a,a e h
52,Mawe-58_far-1,,Mawe,58_far,p ɨ a,p ɨ a,p ɨ a,,11987;464078,,,,,p 3 a,3 a p
53,Mawe-59_fatgrease-1,,Mawe,59_fatgrease,k a p,k a p,k a p,,11987;464078,,,,,k a p,a k p
54,Mawe-60_father-1,,Mawe,60_father,a p,a p,a p,,11987;464078,,,,,a p,a p
55,Mawe-62_finger-1,,Mawe,62_finger,m u ʔ u ɲ ã,m u ʔ u ɲ ã,m u ʔ u ɲ ã,,11987;464078,,,,,m u 7 u 5 a*,5 7 a* m u
56,Mawe-63_fire-1,,Mawe,63_fire,a r j a,a r j a,a r j a,,11987;464078,,,,,a r y a,a r y
57,Mawe-66_fish-1,,Mawe,66_fish,p i r a,p i r a,p i r a,,11987;464078,,,,,p i r a,a i p r
58,Mawe-68_flesh-1,,Mawe,68_flesh,p u ʔ i,p u ʔ i,p u ʔ i,,11987;464078,,,,,p u 7 i,7 i p u
59,Mawe-69_flour-1,,Mawe,69_flour,u ʔ i,u ʔ i,u ʔ i,,11987;464078,,,,,u 7 i,7 i u
60,Mawe-70_flower-1,,Mawe,70_flower,p o h ɨ t,p o h ɨ t,p o h ɨ t,,11987;464078,,,,,p o h 3 t,3 h o p t
61,Mawe-71_fly-1,,Mawe,71_fly,m o p ɨ,m o p ɨ,m o p ɨ,,11987;464078,,,,,m o p 3,3 m o p
62,Mawe-72_flyn-1,,Mawe,72_flyn,w i n,w i n,w i n,,11987;464078,,,,,w i n,i n w
63,Mawe-73_foot-1,,Mawe,73_foot,p ɨ,p ɨ,p ɨ,,11987;464078,,,,,p 3,3 p
64,Mawe-74_four-1,,Mawe,74_four,t u k a w a,t u k a w a,t u k a w a,,11987;464078,,,,,t u k a w a,a k t u w
65,Mawe-75_frog-1,,Mawe,75_frog,w a ʔ a s a,w a ʔ a s a,w a ʔ a s a,,11987;464078,,,,,w a 7 a s a,7 a s w
66,Mawe-76_fruit-1,,Mawe,76_fruit,i ʔ p,i ʔ p,i ʔ p,,11987;464078,,,,,i 7 p,7 i p
67,Mawe-77_full-1,,Mawe,77_full,h ɨ t,h ɨ t,h ɨ t,,11987;464078,,,,,h 3 t,3 h t
68,Mawe-78_gather-1,,Mawe,78_gather,a t u n u ŋ,a t u n u ŋ,a t u n u ŋ,,11987;464078,,,,,a t u n u N,N a n t u
69,Mawe-79_girl-1,,Mawe,79_girl,p i ʔ ã,p i ʔ ã,p i ʔ ã,,11987;464078,,,,,p i 7 a*,7 a* i p
70,Mawe-80_give-1,,Mawe,80_give,a t u m,a t u m,a t u m,,11987;464078,,,,,a t u m,a m t u
71,Mawe-81_go-1,,Mawe,81_go,t o,t o,t o,,11987;464078,,,,,t o,o t
72,Mawe-82_goup-1,,Mawe,82_goup,a m,a m,a m,,11987;464078,,,,,a m,a m
73,Mawe-83_good-1,,Mawe,83_good,w a k u,w a k u,w a k u,,11987;464078,,,,,w a k u,a k u w
74,Mawe-84_grandfather-1,,Mawe,84_grandfather,a s e ʔ i,a s e ʔ i,a s e ʔ i,,11987;464078,,,,,a s e 7 i,7 a e i s
75,Mawe-85_grass-1,,Mawe,85_grass,i ʔ a n a m,i ʔ a n a m,i ʔ a n a m,,11987;464078,,,,,i 7 a n a m,7 a i m n
76,Mawe-86_green-1,,Mawe,86_green,i h ɨ r ɨ p,i h ɨ r ɨ p,i h ɨ r ɨ p,,11987;464078,,,,,i h 3 r 3 p,3 h i p r
77,Mawe-87_grow-1,,Mawe,87_grow,t a ŋ,t a ŋ,t a ŋ,,11987;464078,,,,,t a N,N a t
78,Mawe-88_hand-1,,Mawe,88_hand,p o,p o,p o,,11987;464078,,,,,p o,o p
79,Mawe-89_hair-1,,Mawe,89_hair,a p,a p,a p,,11987;464078,,,,,a p,a p
80,Mawe-90_hammock-1,,Mawe,90_hammock,ĩ n i,ĩ n i,ĩ n i,,11987;464078,,,,,i* n i,i i* n
81,Mawe-91_happy-1,,Mawe,91_happy,w e p i t,w e p i t,w e p i t,,11987;464078,,,,,w e p i t,e i p t w
82,Mawe-92_hawk-1,,Mawe,92_hawk,h ɨ w i,h ɨ w i,h ɨ w i,,11987;464078,,,,,h 3 w i,3 h i w
83,Mawe-94_hearlisten-1,,Mawe,94_hearlisten,ẽ t u p,ẽ t u p,ẽ t u p,,11987;464078,,,,,e* t u p,e* p t u
84,Mawe-95_heart-1,,Mawe,95_heart,w e ʔ ã,w e ʔ ã,w e ʔ ã,,11987;464078,,,,,w e 7 a*,7 a* e w
85,Mawe-96_heavy-1,,Mawe,96_heavy,p o t ɨ j,p o t ɨ j,p o t ɨ j,,11987;464078,,,,,p o t 3 y,3 o p t y
86,Mawe-97_hedgehog-1,,Mawe,97_hedgehog,j̃ u ʔ i,j̃ u ʔ i,j̃ u ʔ i,,11987;464078,,,,,y* u 7 i,7 i u y*
87,Mawe-98_help-1,,Mawe,98_help,p o w ɨ r o,p o w ɨ r o,p o w ɨ r o,,11987;464078,,,,,p o w 3 r o,3 o p r w
88,Mawe-99_hen-1,,Mawe,99_hen,w a i p a k a,w a i p a k a,w a i p a k a,,11987;464078,,,,,w a i p a k a,a i k p w
89,Mawe-100_hide-1,,Mawe,100_hide,w e m i ŋ,w e m i ŋ,w e m i ŋ,,11987;464078,,,,,w e m i N,N e i m w
90,Mawe-101_hit-1,,Mawe,101_hit,a h i k,a h i k,a h i k,,11987;464078,,,,,a h i k,a h i k
91,Mawe-103_hot-1,,Mawe,103_hot,a k u p,a k u p,a k u p,,11987;464078,,,,,a k u p,a k p u
92,Mawe-104_house-1,,Mawe,104_house,ɨ a t,ɨ a t,ɨ a t,,11987;464078,,,,,3 a t,3 a t
93,Mawe-105_howlermonkey-1,,Mawe,105_howlermonkey,a w ɨ k ɨ,a w ɨ k ɨ,a w ɨ k ɨ,,11987;464078,,,,,a w 3 k 3,3 a k w
94,Mawe-107_jacarecaimancrocodile-1,,Mawe,107_jacarecaimancrocodile,j a k a r e,j a k a r e,j a k a r e,,11987;464078,,,,,y a k a r e,a e k r y
95,Mawe-108_jaguar-1,,Mawe,108_jaguar,a w ɨ a t o,a w ɨ a t o,a w ɨ a t o,,11987;464078,,,,,a w 3 a t o,3 a o t w
96,Mawe-109_kill-1,,Mawe,109_kill,a u k a,a u k a,a u k a,,11987;464078,,,,,a u k a,a k u
97,Mawe-110_knee-1,,Mawe,110_knee,m ɨ ʔ a k a ŋ ʔ a,m ɨ ʔ a k a ŋ ʔ a,m ɨ ʔ a k a ŋ ʔ a,,11987;464078,,,,,m 3 7 a k a N 7 a,3 7 N a k m
98,Mawe-111_knife-1,,Mawe,111_knife,k ɨ s e,k ɨ s e,k ɨ s e,,11987;464078,,,,,k 3 s e,3 e k s
99,Mawe-112_know-1,,Mawe,112_know,kʷ a p,kʷ a p,kʷ a p,,11987;464078,,,,,kw~ a p,a kw~ p
100,Mawe-113_lake-1,,Mawe,113_lake,i h ɨ p ɨ h u a t,i h ɨ p ɨ h u a t,i h ɨ p ɨ h u a t,,11987;464078,,,,,i h 3 p 3 h u a t,3 a h i p t u
101,Mawe-114_laugh-1,,Mawe,114_laugh,k ɨ r ɨ,k ɨ r ɨ,k ɨ r ɨ,,11987;464078,,,,,k 3 r 3,3 k r
102,Mawe-115_leaf-1,,Mawe,115_leaf,o p,o p,o p,,11987;464078,,,,,o p,o p
103,Mawe-117_leg-1,,Mawe,117_leg,ʔ u p,ʔ u p,ʔ u p,,11987;464078,,,,,7 u p,7 p u
104,Mawe-118_liver-1,,Mawe,118_liver,p ɨ ʔ a,p ɨ ʔ a,p ɨ ʔ a,,11987;464078,,,,,p 3 7 a,3 7 a p
105,Mawe-119_long-1,,Mawe,119_long,ɨ w o p,ɨ w o p,ɨ w o p,,11987;464078,,,,,3 w o p,3 o p w
106,Mawe-120_lookat-1,,Mawe,120_lookat,h a ʔ ā t,h a ʔ ā t,h a ʔ ā t,,11987;464078,,,,,h a 7 a t,7 a h t
107,Mawe-122_louse-1,,Mawe,122_louse,ŋ ɨ p,ŋ ɨ p,ŋ ɨ p,,11987;464078,,,,,N 3 p,3 N p
108,Mawe-123_man-1,,Mawe,123_man,i h a i ɲ a,i h a i ɲ a,i h a i ɲ a,,11987;464078,,,,,i h a i 5 a,5 a h i
109,Mawe-125_many-1,,Mawe,125_many,k a h a t o,k a h a t o,k a h a t o,,11987;464078,,,,,k a h a t o,a h k o t
110,Mawe-126_medicine-1,,Mawe,126_medicine,p o h a ŋ,p o h a ŋ,p o h a ŋ,,11987;464078,,,,,p o h a N,N a h o p
111,Mawe-127_monkey-1,,Mawe,127_monkey,h a n u ʔ a n,h a n u ʔ a n,h a n u ʔ a n,,11987;464078,,,,,h a n u 7 a n,7 a h n u
112,Mawe-128_moon-1,,Mawe,128_moon,w a t ɨ,w a t ɨ,w a t ɨ,,11987;464078,,,,,w a t 3,3 a t w
113,Mawe-130_mosquito-1,,Mawe,130_mosquito,w ã t i ʔ u,w ã t i ʔ u,w ã t i ʔ u,,11987;464078,,,,,w a* t i 7 u,7 a* i t u w
114,Mawe-131_mother-1,,Mawe,131_mother,t ɨ,t ɨ,t ɨ,,11987;464078,,,,,t 3,3 t
115,Mawe-132_motherinlaw2-1,,Mawe,132_motherinlaw2,a t i t o z a,a t i t o z a,a t i t o z a,,11987;464078,,,,,a t i t o z a,a i o t z
116,Mawe-134_nailclaw-1,,Mawe,134_nailclaw,m u ʔ u j̃ a ʔ a p e,m u ʔ u j̃ a ʔ a p e,m u ʔ u j̃ a ʔ a p e,,11987;464078,,,,,m u 7 u y* a 7 a p e,7 a e m p u y*
117,Mawe-135_name-1,,Mawe,135_name,e t,e t,e t,,11987;464078,,,,,e t,e t
118,Mawe-136_neck-1,,Mawe,136_neck,h u t ʔ ɨ p,h u t ʔ ɨ p,h u t ʔ ɨ p,,11987;464078,,,,,h u t 7 3 p,3 7 h p t u
119,Mawe-137_nest-1,,Mawe,137_nest,o k,o k,o k,,11987;464078,,,,,o k,k o
120,Mawe-138_new-1,,Mawe,138_new,p a k u p,p a k u p,p a k u p,,11987;464078,,,,,p a k u p,a k p u
121,Mawe-139_night-1,,Mawe,139_night,w ã t ɨ m,w ã t ɨ m,w ã t ɨ m,,11987;464078,,,,,w a* t 3 m,3 a* m t w
122,Mawe-140_nose-1,,Mawe,140_nose,a m p ɨ,a m p ɨ,a m p ɨ,,11987;464078,,,,,a m p 3,3 a m p
123,Mawe-141_one-1,,Mawe,141_one,w e n t u p,w e n t u p,w e n t u p,,11987;464078,,,,,w e n t u p,e n p t u w
124,Mawe-143_paca-1,,Mawe,143_paca,p a ɨ,p a ɨ,p a ɨ,,11987;464078,,,,,p a 3,3 a p
125,Mawe-144_painhurt-1,,Mawe,144_painhurt,a t ɨ,a t ɨ,a t ɨ,,11987;464078,,,,,a t 3,3 a t
126,Mawe-145_parrot-1,,Mawe,145_parrot,a h u t,a h u t,a h u t,,11987;464078,,,,,a h u t,a h t u
127,Mawe-146_path-1,,Mawe,146_path,m o a p,m o a p,m o a p,,11987;464078,,,,,m o a p,a m o p
128,Mawe-147_penis-1,,Mawe,147_penis,a h i t,a h i t,a h i t,,11987;464078,,,,,a h i t,a h i t
129,Mawe-148_personhbsomeone-1,,Mawe,148_personhbsomeone,m i t,m i t,m i t,,11987;464078,,,,,m i t,i m t
130,Mawe-149_pierce-1,,Mawe,149_pierce,s u k,s u k,s u k,,11987;464078,,,,,s u k,k s u
131,Mawe-150_pineapple-1,,Mawe,150_pineapple,n a n a,n a n a,n a n a,,11987;464078,,,,,n a n a,a n
132,Mawe-151_play-1,,Mawe,151_play,m a h a r a,m a h a r a,m a h a r a,,11987;464078,,,,,m a h a r a,a h m r
133,Mawe-152_porridge-1,,Mawe,152_porridge,m i ŋ k a ʔ u,m i ŋ k a ʔ u,m i ŋ k a ʔ u,,11987;464078,,,,,m i N k a 7 u,7 N a i k m u
134,Mawe-153_pumpkin-1,,Mawe,153_pumpkin,j u r u m ũ,j u r u m ũ,j u r u m ũ,,11987;464078,,,,,y u r u m u*,m r u u* y
135,Mawe-155_rain-1,,Mawe,155_rain,a m a n,a m a n,a m a n,,11987;464078,,,,,a m a n,a m n
136,Mawe-156_rat-1,,Mawe,156_rat,p ɨ r ɨ k,p ɨ r ɨ k,p ɨ r ɨ k,,11987;464078,,,,,p 3 r 3 k,3 k p r
137,Mawe-157_raw-1,,Mawe,157_raw,i p ɨ r e,i p ɨ r e,i p ɨ r e,,11987;464078,,,,,i p 3 r e,3 e i p r
138,Mawe-158_red-1,,Mawe,158_red,h u p,h u p,h u p,,11987;464078,,,,,h u p,h p u
139,Mawe-159_return-1,,Mawe,159_return,a i p o k,a i p o k,a i p o k,,11987;464078,,,,,a i p o k,a i k o p
140,Mawe-160_ripe-1,,Mawe,160_ripe,o k t a ŋ,o k t a ŋ,o k t a ŋ,,11987;464078,,,,,o k t a N,N a k o t
141,Mawe-161_river-1,,Mawe,161_river,i h ɨ,i h ɨ,i h ɨ,,11987;464078,,,,,i h 3,3 h i
142,Mawe-162_root-1,,Mawe,162_root,a p o,a p o,a p o,,11987;464078,,,,,a p o,a o p
143,Mawe-163_rope-1,,Mawe,163_rope,h ai t ɨ,h ai t ɨ,h ai t ɨ,,11987;464078,,,,,h ai t 3,3 ai h t
144,Mawe-164_round-1,,Mawe,164_round,a w e r e p,a w e r e p,a w e r e p,,11987;464078,,,,,a w e r e p,a e p r w
145,Mawe-165_run-1,,Mawe,165_run,p u t,p u t,p u t,,11987;464078,,,,,p u t,p t u
146,Mawe-166_saliva-1,,Mawe,166_saliva,kʷ i t u ʔ e,kʷ i t u ʔ e,kʷ i t u ʔ e,,11987;464078,,,,,kw~ i t u 7 e,7 e i kw~ t u
147,Mawe-167_salt-1,,Mawe,167_salt,u k ɨ t,u k ɨ t,u k ɨ t,,11987;464078,,,,,u k 3 t,3 k t u
148,Mawe-171_seed-1,,Mawe,171_seed,a ʔ ɨ j,a ʔ ɨ j,a ʔ ɨ j,,11987;464078,,,,,a 7 3 y,3 7 a y
149,Mawe-172_seek-1,,Mawe,172_seek,k a t,k a t,k a t,,11987;464078,,,,,k a t,a k t
150,Mawe-173_send-1,,Mawe,173_send,p o ʔ o r o,p o ʔ o r o,p o ʔ o r o,,11987;464078,,,,,p o 7 o r o,7 o p r
151,Mawe-175_shellbark-1,,Mawe,175_shellbark,a p e,a p e,a p e,,11987;464078,,,,,a p e,a e p
152,Mawe-177_sister-1,,Mawe,177_sister,n ɨ t,n ɨ t,n ɨ t,,11987;464078,,,,,n 3 t,3 n t
153,Mawe-178_sit-1,,Mawe,178_sit,a p ɨ k,a p ɨ k,a p ɨ k,,11987;464078,,,,,a p 3 k,3 a k p
154,Mawe-179_sleep-1,,Mawe,179_sleep,k e t,k e t,k e t,,11987;464078,,,,,k e t,e k t
155,Mawe-180_small-1,,Mawe,180_small,h i t,h i t,h i t,,11987;464078,,,,,h i t,h i t
156,Mawe-181_smoke-1,,Mawe,181_smoke,h i ŋ,h i ŋ,h i ŋ,,11987;464078,,,,,h i N,N h i
157,Mawe-182_snake-1,,Mawe,182_snake,m o j,m o j,m o j,,11987;464078,,,,,m o y,m o y
158,Mawe-183_snore-1,,Mawe,183_snore,h õ h õ,h õ h õ,h õ h õ,,11987;464078,,,,,h o* h o*,h o*
159,Mawe-184_son-1,,Mawe,184_son,m e mp ɨ t,m e mp ɨ t,m e mp ɨ t,,11987;464078,,,,,m e mp 3 t,3 e m mp t
160,Mawe-185_souracid-1,,Mawe,185_souracid,e j̃ u ŋ,e j̃ u ŋ,e j̃ u ŋ,,11987;464078,,,,,e y* u N,N e u y*
161,Mawe-186_speak-1,,Mawe,186_speak,h a j,h a j,h a j,,11987;464078,,,,,h a y,a h y
162,Mawe-188_star-1,,Mawe,188_star,w a j k i r u,w a j k i r u,w a j k i r u,,11987;464078,,,,,w a y k i r u,a i k r u w y
163,Mawe-189_stingray-1,,Mawe,189_stingray,m e mp ɨ,m e mp ɨ,m e mp ɨ,,11987;464078,,,,,m e mp 3,3 e m mp
164,Mawe-191_stone-1,,Mawe,191_stone,n u,n u,n u,,11987;464078,,,,,n u,n u
165,Mawe-193_suck-1,,Mawe,193_suck,s ɨ m,s ɨ m,s ɨ m,,11987;464078,,,,,s 3 m,3 m s
166,Mawe-194_sun-1,,Mawe,194_sun,a t,a t,a t,,11987;464078,,,,,a t,a t
167,Mawe-195_sweep-1,,Mawe,195_sweep,ɨ w ɨ t i p,ɨ w ɨ t i p,ɨ w ɨ t i p,,11987;464078,,,,,3 w 3 t i p,3 i p t w
168,Mawe-196_sweet-1,,Mawe,196_sweet,e ʔ ẽ,e ʔ ẽ,e ʔ ẽ,,11987;464078,,,,,e 7 e*,7 e e*
169,Mawe-197_sweetpotato-1,,Mawe,197_sweetpotato,u r i u r u,u r i u r u,u r i u r u,,11987;464078,,,,,u r i u r u,i r u
170,Mawe-199_tail-1,,Mawe,199_tail,u w a j p o,u w a j p o,u w a j p o,,11987;464078,,,,,u w a y p o,a o p u w y
171,Mawe-200_tapir-1,,Mawe,200_tapir,w e w a t o,w e w a t o,w e w a t o,,11987;464078,,,,,w e w a t o,a e o t w
172,Mawe-201_teach-1,,Mawe,201_teach,m u u ʔ e,m u u ʔ e,m u u ʔ e,,11987;464078,,,,,m u u 7 e,7 e m u
173,Mawe-202_tellnarrate-1,,Mawe,202_tellnarrate,e n o j,e n o j,e n o j,,11987;464078,,,,,e n o y,e n o y
174,Mawe-203_terminatefinish-1,,Mawe,203_terminatefinish,p a p,p a p,p a p,,11987;464078,,,,,p a p,a p
175,Mawe-204_termite-1,,Mawe,204_termite,ŋ u p i ʔ a,ŋ u p i ʔ a,ŋ u p i ʔ a,,11987;464078,,,,,N u p i 7 a,7 N a i p u
176,Mawe-206_thick-1,,Mawe,206_thick,i w a t o,i w a t o,i w a t o,,11987;464078,,,,,i w a t o,a i o t w
177,Mawe-208_three-1,,Mawe,208_three,m ɨ e ʔ ɨ m,m ɨ e ʔ ɨ m,m ɨ e ʔ ɨ m,,11987;464078,,,,,m 3 e 7 3 m,3 7 e m
178,Mawe-209_thorn-1,,Mawe,209_thorn,h u,h u,h u,,11987;464078,,,,,h u,h u
179,Mawe-210_thunder-1,,Mawe,210_thunder,h u r u r e,h u r u r e,h u r u r e,,11987;464078,,,,,h u r u r e,e h r u
180,Mawe-212_tick-1,,Mawe,212_tick,w e w a t,w e w a t,w e w a t,,11987;464078,,,,,w e w a t,a e t w
181,Mawe-213_tie-1,,Mawe,213_tie,k ɨ t ɨ t,k ɨ t ɨ t,k ɨ t ɨ t,,11987;464078,,,,,k 3 t 3 t,3 k t
182,Mawe-214_tired-1,,Mawe,214_tired,e r a,e r a,e r a,,11987;464078,,,,,e r a,a e r
183,Mawe-215_tobacco-1,,Mawe,215_tobacco,s u h u,s u h u,s u h u,,11987;464078,,,,,s u h u,h s u
184,Mawe-216_tomorrow-1,,Mawe,216_tomorrow,m o ŋ k i ʔ i t e,m o ŋ k i ʔ i t e,m o ŋ k i ʔ i t e,,11987;464078,,,,,m o N k i 7 i t e,7 N e i k m o t
185,Mawe-217_tongue-1,,Mawe,217_tongue,ẽ k u,ẽ k u,ẽ k u,,11987;464078,,,,,e* k u,e* k u
186,Mawe-218_tree-1,,Mawe,218_tree,ʔ ɨ p,ʔ ɨ p,ʔ ɨ p,,11987;464078,,,,,7 3 p,3 7 p
187,Mawe-219_turtle-1,,Mawe,219_turtle,w a w o r i,w a w o r i,w a w o r i,,11987;464078,,,,,w a w o r i,a i o r w
188,Mawe-220_two-1,,Mawe,220_two,t ɨ p ɨ,t ɨ p ɨ,t ɨ p ɨ,,11987;464078,,,,,t 3 p 3,3 p t
189,Mawe-221_ugly-1,,Mawe,221_ugly,k a h u ʔ i,k a h u ʔ i,k a h u ʔ i,,11987;464078,,,,,k a h u 7 i,7 a h i k u
190,Mawe-222_unclemobr-1,,Mawe,222_unclemobr,a m ũ,a m ũ,a m ũ,,11987;464078,,,,,a m u*,a m u*
