,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,CU,asjp_forms,asjp_segs
0,LencaSalvador-1_agua-1,,LencaSalvador,1_agua,wal,wal,w a l,,Constenla2005,1,,^ w a l $,LencaSalvador,a,w a l,a l w
1,LencaHonduras-1_agua-1,,LencaHonduras,1_agua,was,was,w a s,,Constenla2005,1,,^ w a s $,LencaHonduras,a,w a s,a s w
2,Cacaopera-1_agua-1,,Cacaopera,1_agua,li,li,l i,,Constenla2005,2,,^ l i $,Cacaopera,b,l i,i l
3,Mayangna-1_agua-1,,Mayangna,1_agua,was,was,w a s,,Constenla2005,1,,^ w a s $,Mayangna,a,w a s,a s w
4,Ulwa-1_agua-1,,Ulwa,1_agua,was,was,w a s,,Constenla2005,1,,^ w a s $,Ulwa,a,w a s,a s w
5,Miskito-1_agua-1,,Miskito,1_agua,li,li,l i,,Constenla2005,2,,^ l i $,Miskito,b,l i,i l
6,Pech-1_agua-1,,Pech,1_agua,àsò,àsò,à/a s ò/o,,Constenla2005,3,,^ à s ò $,Pech,,a a s o o,a o s
7,Rama-1_agua-1,,Rama,1_agua,si:,si:,s iː,,Constenla2005,4,,^ s i: $,Rama,c,s i,i s
8,MalekuJaika-1_agua-1,,MalekuJaika,1_agua,ti:,ti:,t iː,,Constenla2005,4,,^ t i: $,MalekuJaika,c,t i,i t
9,Boruca-1_agua-1,,Boruca,1_agua,díʔ,díʔ,d í/i ʔ,,Constenla2005,4,,^ d í ʔ $,Boruca,c,d i i 7,7 d i
10,Bribri-1_agua-1,,Bribri,1_agua,dǐʔ,dǐʔ,d ǐ/i ʔ,,Constenla2005,4,,^ d ǐ ʔ $,Bribri,c,d i i 7,7 d i
11,Cabecar-1_agua-1,,Cabecar,1_agua,díkɺʊ́,díkɺʊ́,d í/i k ɺ ʊ́/ʊ,,Constenla2005,4,,^ d í k ɺ ʊ́ $,Cabecar,c,d i i k L u u,L d i k u
12,Teribe-1_agua-1,,Teribe,1_agua,dí,dí,d í/i,,Constenla2005,4,,^ d í $,Teribe,c,d i i,d i
13,Ngabere-1_agua-1,,Ngabere,1_agua,ɲɤ,ɲɤ,ɲ ɤ,,Constenla2005,4,,^ ɲ ɤ $,Ngabere,c,5 o,5 o
14,Buglere-1_agua-1,,Buglere,1_agua,tʃi,tʃi,tʃ i,,Constenla2005,4,,^ tʃ i $,Buglere,c,tS i,i tS
15,Dorasque-1_agua-1,,Dorasque,1_agua,yi,yi,j i,,Constenla2005,4,,^ y i $,Dorasque,c,y i,i y
16,SanBlasKuna-1_agua-1,,SanBlasKuna,1_agua,ti:,ti:,t iː,,Constenla2005,4,,^ t i: $,SanBlasKuna,c,t i,i t
17,Cogui-1_agua-1,,Cogui,1_agua,ni,ni,n i,,Constenla2005,4,,^ n i $,Cogui,c,n i,i n
18,Arhuaco-1_agua-1,,Arhuaco,1_agua,dʒe,dʒe,dʒ e,,Constenla2005,4,,^ dʒ e $,Arhuaco,c,dZ e,dZ e
19,Malayo-1_agua-1,,Malayo,1_agua,'dʒiɾa,'dʒiɾa,'d/d ʒ i ɾ a,,Constenla2005,4,,^ 'd ʒ i ɾ a $,Malayo,c,d Z i r a,Z a d i r
20,Chimila-1_agua-1,,Chimila,1_agua,ditake:,ditake:,d i t a k eː,,Constenla2005,4,,^ d i t a k e: $,Chimila,c,d i t a k e,a d e i k t
21,Chibcha-1_agua-1,,Chibcha,1_agua,sie,sie,s i e,,Constenla2005,4,,^ s i e $,Chibcha,c,s i e,e i s
22,CentralTunebo-1_agua-1,,CentralTunebo,1_agua,'riʔa,'riʔa,'r/r i ʔ a,,Constenla2005,4,,^ 'r i ʔ a $,CentralTunebo,c,r i 7 a,7 a i r
23,Bari-1_agua-1,,Bari,1_agua,sĩ: mã,sĩ: mã,s ĩː + m ã,,Constenla2005,4,,^ s ĩ: + m ã $,Bari,c,s i*  m a*, a* i* m s
24,LencaSalvador-2_amarillo-1,,LencaSalvador,2_amarillo,ku,ku,k u,,Constenla2005,5,,^ k u $,LencaSalvador,,k u,k u
25,LencaHonduras-2_amarillo-1,,LencaHonduras,2_amarillo,suninga,suninga,s u n i n g a,,Constenla2005,6,,^ s u n i n g a $,LencaHonduras,,s u n i n g a,a g i n s u
26,Cacaopera-2_amarillo-1,,Cacaopera,2_amarillo,maju,maju,m a j u,,Constenla2005,7,,^ m a j u $,Cacaopera,,m a y u,a m u y
27,Mayangna-2_amarillo-1,,Mayangna,2_amarillo,lalahni,lalahni,l a l a h n i,,Constenla2005,8,,^ l a l a h n i $,Mayangna,a,l a l a h n i,a h i l n
28,Ulwa-2_amarillo-1,,Ulwa,2_amarillo,lalahka,lalahka,l a l a h k a,,Constenla2005,8,,^ l a l a h k a $,Ulwa,a,l a l a h k a,a h k l
29,Miskito-2_amarillo-1,,Miskito,2_amarillo,lalalhni,lalalhni,l a l a l h n i,,Constenla2005,8,,^ l a l a l h n i $,Miskito,a,l a l a l h n i,a h i l n
30,Pech-2_amarillo-1,,Pech,2_amarillo,sè: wa,sè: wa,s èː/eː + w a,,Constenla2005,9,,^ s è: + w a $,Pech,,s e e  w a, a e s w
31,Rama-2_amarillo-1,,Rama,2_amarillo,nuknukŋa,nuknukŋa,n u k n u k ŋ a,,Constenla2005,10,,^ n u k n u k ŋ a $,Rama,,n u k n u k N a,N a k n u
32,MalekuJaika-2_amarillo-1,,MalekuJaika,2_amarillo,ɬaxa:ɾa ɬutu iŋa,ɬaxa:ɾa ɬutu iŋa,ɬ a x aː ɾ a + ɬ u t u + i ŋ a,,Constenla2005,11,,^ ɬ a x a: ɾ a + ɬ u t u + i ŋ a $,MalekuJaika,,L a x a r a  L u t u  i N a, L N a i r t u x
33,Boruca-2_amarillo-1,,Boruca,2_amarillo,ʃòsát,ʃòsát,ʃ ò/o s á/a t,,Constenla2005,12,,^ ʃ ò s á t $,Boruca,,S o o s a a t,S a o s t
34,Bribri-2_amarillo-1,,Bribri,2_amarillo,tsikidǐdǐ,tsikidǐdǐ,t s i k i d ǐ/i d ǐ/i,,Constenla2005,13,,^ t s i k i d ǐ d ǐ $,Bribri,b,t s i k i d i i d i i,d i k s t
35,Cabecar-2_amarillo-1,,Cabecar,2_amarillo,tsikidí,tsikidí,t s i k i d í/i,,Constenla2005,13,,^ t s i k i d í $,Cabecar,b,t s i k i d i i,d i k s t
36,Teribe-2_amarillo-1,,Teribe,2_amarillo,ʃòinóɾ,ʃòinóɾ,ʃ ò/o i n ó/o ɾ,,Constenla2005,14,,^ ʃ ò i n ó ɾ $,Teribe,,S o o i n o o r,S i n o r
37,Ngabere-2_amarillo-1,,Ngabere,2_amarillo,sɯbɾɯɾe,sɯbɾɯɾe,s ɯ b ɾ ɯ ɾ e,,Constenla2005,15,,^ s ɯ b ɾ ɯ ɾ e $,Ngabere,,s u b r u r e,b e r s u
38,Buglere-2_amarillo-1,,Buglere,2_amarillo,moloi,moloi,m o l o i,,Constenla2005,16,,^ m o l o i $,Buglere,,m o l o i,i l m o
39,Dorasque-2_amarillo-1,,Dorasque,2_amarillo,utká,utká,u t k á/a,,Constenla2005,17,,^ u t k á $,Dorasque,,u t k a a,a k t u
40,SanBlasKuna-2_amarillo-1,,SanBlasKuna,2_amarillo,kollokwa,kollokwa,k o ʎ o k w a,,Constenla2005,18,,^ k o ll o k w a $,SanBlasKuna,,k o L o k w a,L a k o w
41,Cogui-2_amarillo-1,,Cogui,2_amarillo,kaʃiku'ama,kaʃiku'ama,k a ʃ i k u 'a/a m a,,Constenla2005,19,,^ k a ʃ i k u 'a m a $,Cogui,c,k a S i k u a m a,S a i k m u
42,Arhuaco-2_amarillo-1,,Arhuaco,2_amarillo,'tʃəmmi,'tʃəmmi,'t/t ʃ ə m i,,Constenla2005,20,,^ 't ʃ ə mm i $,Arhuaco,ch,t S 3 m i,3 S i m t
43,Malayo-2_amarillo-1,,Malayo,2_amarillo,kɨʃkwama,kɨʃkwama,k ɨ ʃ k w a m a,,Constenla2005,19,,^ k ɨ ʃ k w a m a $,Malayo,c,k 3 S k w a m a,3 S a k m w
44,Chimila-2_amarillo-1,,Chimila,2_amarillo,tʃoŋgɾagwattu,tʃoŋgɾagwattu,tʃ o ŋ g ɾ a g w a t u,,Constenla2005,21,,^ tʃ o ŋ g ɾ a g w a tt u $,Chimila,,tS o N g r a g w a t u,N a g o r t tS u w
45,Chibcha-2_amarillo-1,,Chibcha,2_amarillo,tɨβan,tɨβan,t ɨ β a n,,Constenla2005,20,,^ t ɨ β a n $,Chibcha,ch,t 3 b a n,3 a b n t
46,CentralTunebo-2_amarillo-1,,CentralTunebo,2_amarillo,ta'waja,ta'waja,t 'a/a w a j a,,Constenla2005,20,,^ t a' w a j a $,CentralTunebo,ch,t a w a y a,a t w y
47,Bari-2_amarillo-1,,Bari,2_amarillo,kanikã: siũkdu,kanikã: siũkdu,k a n i k ãː + s i ũ k d u,,Constenla2005,22,,^ k a n i k ã: + s i ũ k d u $,Bari,,k a n i k a*  s i u* k d u, a a* d i k n s u u*
48,LencaSalvador-3_amarrar-1,,LencaSalvador,3_amarrar,waɾ,waɾ,w a ɾ,,Constenla2005,23,,^ w a ɾ $,LencaSalvador,a,w a r,a r w
49,LencaHonduras-3_amarrar-1,,LencaHonduras,3_amarrar,kup,kup,k u p,,Constenla2005,24,,^ k u p $,LencaHonduras,,k u p,k p u
50,Cacaopera-3_amarrar-1,,Cacaopera,3_amarrar,wiri,wiri,w i r i,,Constenla2005,23,,^ w i r i $,Cacaopera,a,w i r i,i r w
51,Mayangna-3_amarrar-1,,Mayangna,3_amarrar,sit,sit,s i t,,Constenla2005,25,,^ s i t $,Mayangna,b,s i t,i s t
52,Ulwa-3_amarrar-1,,Ulwa,3_amarrar,sit,sit,s i t,,Constenla2005,25,,^ s i t $,Ulwa,b,s i t,i s t
53,Miskito-3_amarrar-1,,Miskito,3_amarrar,wilk,wilk,w i l k,,Constenla2005,23,,^ w i l k $,Miskito,a,w i l k,i k l w
54,Pech-3_amarrar-1,,Pech,3_amarrar,tìk,tìk,t ì/i k,,Constenla2005,26,,^ t ì k $,Pech,,t i i k,i k t
55,Rama-3_amarrar-1,,Rama,3_amarrar,aŋais,aŋais,a ŋ a i s,,Constenla2005,27,,^ a ŋ a i s $,Rama,,a N a i s,N a i s
56,MalekuJaika-3_amarrar-1,,MalekuJaika,3_amarrar,kera:,kera:,k e r aː,,Constenla2005,28,,^ k e r a: $,MalekuJaika,c,k e r a,a e k r
57,Boruca-3_amarrar-1,,Boruca,3_amarrar,íŋ,íŋ,í/i ŋ,,Constenla2005,29,,^ í ŋ $,Boruca,,i i N,N i
58,Bribri-3_amarrar-1,,Bribri,3_amarrar,bõ,bõ,b õ,,Constenla2005,30,,^ b õ $,Bribri,ch,b o*,b o*
59,Cabecar-3_amarrar-1,,Cabecar,3_amarrar,bõ,bõ,b õ,,Constenla2005,30,,^ b õ $,Cabecar,ch,b o*,b o*
60,Teribe-3_amarrar-1,,Teribe,3_amarrar,ɸɺík,ɸɺík,ɸ ɺ í/i k,,Constenla2005,31,,^ ɸ ɺ í k $,Teribe,,p L i i k,L i k p
61,Ngabere-3_amarrar-1,,Ngabere,3_amarrar,mɔgete,mɔgete,m ɔ g e t e,,Constenla2005,32,,^ m ɔ g e t e $,Ngabere,,m o g e t e,e g m o t
62,Buglere-3_amarrar-1,,Buglere,3_amarrar,kagã,kagã,k a g ã,,Constenla2005,33,,^ k a g ã $,Buglere,,k a g a*,a a* g k
63,Dorasque-3_amarrar-1,,Dorasque,3_amarrar,bui,bui,b u i,,Constenla2005,30,,^ b u i $,Dorasque,ch,b u i,b i u
64,SanBlasKuna-3_amarrar-1,,SanBlasKuna,3_amarrar,e-tinne,e-tinne,e + t i n e,,Constenla2005,34,,^ e - t i nn e $,SanBlasKuna,d,e  t i n e, e i n t
65,Cogui-3_amarrar-1,,Cogui,3_amarrar,aka-lihi,aka-lihi,a k a + l i h i,,Constenla2005,34,,^ a k a - l i h i $,Cogui,d,a k a  l i h i, a h i k l
66,Arhuaco-3_amarrar-1,,Arhuaco,3_amarrar,'aʔdʒ,'aʔdʒ,'a/a ʔ dʒ,,Constenla2005,35,,^ 'a ʔ dʒ $,Arhuaco,,a 7 dZ,7 a dZ
67,Malayo-3_amarrar-1,,Malayo,3_amarrar,ɾinʒii,ɾinʒii,ɾ i n ʒ i i,,Constenla2005,34,,^ ɾ i n ʒ i i $,Malayo,d,r i n Z i i,Z i n r
68,Chimila-3_amarrar-1,,Chimila,3_amarrar,sikke,sikke,s i k e,,Constenla2005,25,,^ s i kk e $,Chimila,b,s i k e,e i k s
69,Chibcha-3_amarrar-1,,Chibcha,3_amarrar,kamɨ,kamɨ,k a m ɨ,,Constenla2005,36,,^ k a m ɨ $,Chibcha,,k a m 3,3 a k m
70,CentralTunebo-3_amarrar-1,,CentralTunebo,3_amarrar,ke'ta,ke'ta,k e 't/t a,,Constenla2005,28,,^ k e 't a $,CentralTunebo,c,k e t a,a e k t
71,Bari-3_amarrar-1,,Bari,3_amarrar,ju,ju,j u,,Constenla2005,37,,^ j u $,Bari,,y u,u y
72,LencaSalvador-4_arbol-1,,LencaSalvador,4_arbol,suN,suN,s u n,,Constenla2005,38,,^ s u N $,LencaSalvador,,s u n,n s u
73,LencaHonduras-4_arbol-1,,LencaHonduras,4_arbol,ili,ili,i l i,,Constenla2005,39,,^ i l i $,LencaHonduras,,i l i,i l
74,Cacaopera-4_arbol-1,,Cacaopera,4_arbol,man,man,m a n,,Constenla2005,40,,^ m a n $,Cacaopera,a,m a n,a m n
75,Mayangna-4_arbol-1,,Mayangna,4_arbol,pan,pan,p a n,,Constenla2005,40,,^ p a n $,Mayangna,a,p a n,a n p
76,Ulwa-4_arbol-1,,Ulwa,4_arbol,pan,pan,p a n,,Constenla2005,40,,^ p a n $,Ulwa,a,p a n,a n p
77,Miskito-4_arbol-1,,Miskito,4_arbol,dus,dus,d u s,,Constenla2005,41,,^ d u s $,Miskito,,d u s,d s u
78,Pech-4_arbol-1,,Pech,4_arbol,pã̀jh,pã̀jh,p ã̀/ã j h,,Constenla2005,40,,^ p ã̀ j h $,Pech,a,p a* a* y h,a* h p y
79,Rama-4_arbol-1,,Rama,4_arbol,ka:t,ka:t,k aː t,,Constenla2005,42,,^ k a: t $,Rama,b,k a t,a k t
80,MalekuJaika-4_arbol-1,,MalekuJaika,4_arbol,ko:ɾa,ko:ɾa,k oː ɾ a,,Constenla2005,42,,^ k o: ɾ a $,MalekuJaika,b,k o r a,a k o r
81,Boruca-4_arbol-1,,Boruca,4_arbol,kɾáŋ,kɾáŋ,k ɾ á/a ŋ,,Constenla2005,42,,^ k ɾ á ŋ $,Boruca,b,k r a a N,N a k r
82,Bribri-4_arbol-1,,Bribri,4_arbol,káɺ,káɺ,k á/a ɺ,,Constenla2005,42,,^ k á ɺ $,Bribri,b,k a a L,L a k
83,Cabecar-4_arbol-1,,Cabecar,4_arbol,kaɺ,kaɺ,k a ɺ,,Constenla2005,42,,^ k a ɺ $,Cabecar,b,k a L,L a k
84,Teribe-4_arbol-1,,Teribe,4_arbol,kʰɔ́,kʰɔ́,kʰ ɔ́/ɔ,,Constenla2005,42,,^ kʰ ɔ́ $,Teribe,b,kh~ o o,kh~ o
85,Ngabere-4_arbol-1,,Ngabere,4_arbol,kɾi,kɾi,k ɾ i,,Constenla2005,42,,^ k ɾ i $,Ngabere,b,k r i,i k r
86,Buglere-4_arbol-1,,Buglere,4_arbol,gli,gli,g l i,,Constenla2005,42,,^ g l i $,Buglere,b,g l i,g i l
87,Dorasque-4_arbol-1,,Dorasque,4_arbol,kalkála,kalkála,k a l k á/a l a,,Constenla2005,42,,^ k a l k á l a $,Dorasque,b,k a l k a a l a,a k l
88,SanBlasKuna-4_arbol-1,,SanBlasKuna,4_arbol,sappi,sappi,s a p i,,Constenla2005,43,,^ s a pp i $,SanBlasKuna,,s a p i,a i p s
89,Cogui-4_arbol-1,,Cogui,4_arbol,'kali,'kali,'k/k a l i,,Constenla2005,42,,^ 'k a l i $,Cogui,b,k a l i,a i k l
90,Arhuaco-4_arbol-1,,Arhuaco,4_arbol,kən,kən,k ə n,,Constenla2005,42,,^ k ə n $,Arhuaco,b,k 3 n,3 k n
91,Malayo-4_arbol-1,,Malayo,4_arbol,kɨn,kɨn,k ɨ n,,Constenla2005,42,,^ k ɨ n $,Malayo,b,k 3 n,3 k n
92,Chimila-4_arbol-1,,Chimila,4_arbol,ka:,ka:,k aː,,Constenla2005,42,,^ k a: $,Chimila,b,k a,a k
93,Chibcha-4_arbol-1,,Chibcha,4_arbol,kɨe,kɨe,k ɨ e,,Constenla2005,42,,^ k ɨ e $,Chibcha,b,k 3 e,3 e k
94,CentralTunebo-4_arbol-1,,CentralTunebo,4_arbol,'kaɾukwa,'kaɾukwa,'k/k a ɾ u k w a,,Constenla2005,42,,^ 'k a ɾ u k w a $,CentralTunebo,b,k a r u k w a,a k r u w
95,Bari-4_arbol-1,,Bari,4_arbol,kã:,kã:,k ãː,,Constenla2005,42,,^ k ã: $,Bari,b,k a*,a* k
96,LencaSalvador-5_arena-1,,LencaSalvador,5_arena,miʃea,miʃea,m i ʃ e a,,Constenla2005,44,,^ m i ʃ e a $,LencaSalvador,,m i S e a,S a e i m
97,LencaHonduras-5_arena-1,,LencaHonduras,5_arena,toko,toko,t o k o,,Constenla2005,45,,^ t o k o $,LencaHonduras,,t o k o,k o t
98,Cacaopera-5_arena-1,,Cacaopera,5_arena,kui,kui,k u i,,Constenla2005,46,,^ k u i $,Cacaopera,a,k u i,i k u
99,Mayangna-5_arena-1,,Mayangna,5_arena,kauhmak,kauhmak,k a u h m a k,,Constenla2005,46,,^ k a u h m a k $,Mayangna,a,k a u h m a k,a h k m u
100,Ulwa-5_arena-1,,Ulwa,5_arena,ka:uhmak,ka:uhmak,k aː u h m a k,,Constenla2005,46,,^ k a: u h m a k $,Ulwa,a,k a u h m a k,a h k m u
101,Miskito-5_arena-1,,Miskito,5_arena,ahuja,ahuja,a h u j a,,Constenla2005,47,,^ a h u j a $,Miskito,,a h u y a,a h u y
102,Pech-5_arena-1,,Pech,5_arena,úʔù,úʔù,ú/u ʔ ù/u,,Constenla2005,48,,^ ú ʔ ù $,Pech,b,u u 7 u u,7 u
103,Rama-5_arena-1,,Rama,5_arena,unta:s,unta:s,u n t aː s,,Constenla2005,48,,^ u n t a: s $,Rama,b,u n t a s,a n s t u
104,MalekuJaika-5_arena-1,,MalekuJaika,5_arena,uɬi:xa,uɬi:xa,u ɬ iː x a,,Constenla2005,48,,^ u ɬ i: x a $,MalekuJaika,b,u L i x a,L a i u x
105,Boruca-5_arena-1,,Boruca,5_arena,ùb,ùb,ù/u b,,Constenla2005,48,,^ ù b $,Boruca,b,u u b,b u
106,Bribri-5_arena-1,,Bribri,5_arena,stsã̌ʔ,stsã̌ʔ,s t s ã̌/ã ʔ,,Constenla2005,49,,^ s t s ã̌ ʔ $,Bribri,c,s t s a* a* 7,7 a* s t
107,Cabecar-5_arena-1,,Cabecar,5_arena,tsã́,tsã́,t s ã́/ã,,Constenla2005,49,,^ t s ã́ $,Cabecar,c,t s a* a*,a* s t
108,Teribe-5_arena-1,,Teribe,5_arena,ɺa,ɺa,ɺ a,,Constenla2005,50,,^ ɺ a $,Teribe,,L a,L a
109,Ngabere-5_arena-1,,Ngabere,5_arena,ɯma,ɯma,ɯ m a,,Constenla2005,48,,^ ɯ m a $,Ngabere,b,u m a,a m u
110,Buglere-5_arena-1,,Buglere,5_arena,uba,uba,u b a,,Constenla2005,48,,^ u b a $,Buglere,b,u b a,a b u
111,Dorasque-5_arena-1,,Dorasque,5_arena,hálgu,hálgu,h á/a l g u,,Constenla2005,51,,^ h á l g u $,Dorasque,,h a a l g u,a g h l u
112,SanBlasKuna-5_arena-1,,SanBlasKuna,5_arena,ukkuppa,ukkuppa,u k u p a,,Constenla2005,48,,^ u kk u pp a $,SanBlasKuna,b,u k u p a,a k p u
113,Cogui-5_arena-1,,Cogui,5_arena,'ui,'ui,'u/u i,,Constenla2005,48,,^ 'u i $,Cogui,b,u i,i u
114,Arhuaco-5_arena-1,,Arhuaco,5_arena,'uzu,'uzu,'u/u z u,,Constenla2005,48,,^ 'u z u $,Arhuaco,b,u z u,u z
115,Malayo-5_arena-1,,Malayo,5_arena,unʒu,unʒu,u n ʒ u,,Constenla2005,48,,^ u n ʒ u $,Malayo,b,u n Z u,Z n u
116,Chimila-5_arena-1,,Chimila,5_arena,saʔssaɾi,saʔssaɾi,s a ʔ s a ɾ i,,Constenla2005,49,,^ s a ʔ ss a ɾ i $,Chimila,c,s a 7 s a r i,7 a i r s
117,Chibcha-5_arena-1,,Chibcha,5_arena,ɣuantsa,ɣuantsa,ɣ u a n t s a,,Constenla2005,48,,^ ɣ u a n t s a $,Chibcha,b,x u a n t s a,a n s t u x
118,CentralTunebo-5_arena-1,,CentralTunebo,5_arena,'umita,'umita,'u/u m i t a,,Constenla2005,48,,^ 'u m i t a $,CentralTunebo,b,u m i t a,a i m t u
119,Bari-5_arena-1,,Bari,5_arena,ũda,ũda,ũ d a,,Constenla2005,48,,^ ũ d a $,Bari,b,u* d a,a d u*
120,LencaSalvador-6_ave-1,,LencaSalvador,6_ave,ts'imts'im,ts'imts'im,t s 'i/i m t s 'i/i m,,Constenla2005,52,,^ t s 'i m t s 'i m $,LencaSalvador,a,t s i m t s i m,i m s t
121,LencaHonduras-6_ave-1,,LencaHonduras,6_ave,siɾa,siɾa,s i ɾ a,,Constenla2005,52,,^ s i ɾ a $,LencaHonduras,a,s i r a,a i r s
122,Cacaopera-6_ave-1,,Cacaopera,6_ave,wasiri,wasiri,w a s i r i,,Constenla2005,53,,^ w a s i r i $,Cacaopera,,w a s i r i,a i r s w
123,Mayangna-6_ave-1,,Mayangna,6_ave,uhbin,uhbin,u h b i n,,Constenla2005,54,,^ u h b i n $,Mayangna,,u h b i n,b h i n u
124,Ulwa-6_ave-1,,Ulwa,6_ave,di: baka,di: baka,d iː + b a k a,,Constenla2005,55,,^ d i: + b a k a $,Ulwa,,d i  b a k a, a b d i k
125,Miskito-6_ave-1,,Miskito,6_ave,pjãwiɾa,pjãwiɾa,p j ã w i ɾ a,,Constenla2005,56,,^ p j ã w i ɾ a $,Miskito,,p y a* w i r a,a a* i p r w y
126,Pech-6_ave-1,,Pech,6_ave,kwàs,kwàs,k w à/a s,,Constenla2005,57,,^ k w à s $,Pech,,k w a a s,a k s w
127,Rama-6_ave-1,,Rama,6_ave,sin-sak,sin-sak,s i n + s a k,,Constenla2005,52,,^ s i n - s a k $,Rama,a,s i n  s a k, a i k n s
128,MalekuJaika-6_ave-1,,MalekuJaika,6_ave,ŋiskaka:,ŋiskaka:,ŋ i s k a k aː,,Constenla2005,58,,^ ŋ i s k a k a: $,MalekuJaika,,N i s k a k a,N a i k s
129,Boruca-6_ave-1,,Boruca,6_ave,dù,dù,d ù/u,,Constenla2005,59,,^ d ù $,Boruca,b,d u u,d u
130,Bribri-6_ave-1,,Bribri,6_ave,dú,dú,d ú/u,,Constenla2005,59,,^ d ú $,Bribri,b,d u u,d u
131,Cabecar-6_ave-1,,Cabecar,6_ave,dù,dù,d ù/u,,Constenla2005,59,,^ d ù $,Cabecar,b,d u u,d u
132,Teribe-6_ave-1,,Teribe,6_ave,sínũã̀,sínũã̀,s í/i n ũ ã̀/ã,,Constenla2005,60,,^ s í n ũ ã̀ $,Teribe,,s i i n u* a* a*,a* i n s u*
133,Ngabere-6_ave-1,,Ngabere,6_ave,nukwɔ,nukwɔ,n u k w ɔ,,Constenla2005,59,,^ n u k w ɔ $,Ngabere,b,n u k w o,k n o u w
134,Buglere-6_ave-1,,Buglere,6_ave,bdada,bdada,b d a d a,,Constenla2005,61,,^ b d a d a $,Buglere,,b d a d a,a b d
135,Dorasque-6_ave-1,,Dorasque,6_ave,dul,dul,d u l,,Constenla2005,59,,^ d u l $,Dorasque,b,d u l,d l u
136,SanBlasKuna-6_ave-1,,SanBlasKuna,6_ave,sikkwi,sikkwi,s i k w i,,Constenla2005,62,,^ s i kk w i $,SanBlasKuna,,s i k w i,i k s w
137,Cogui-6_ave-1,,Cogui,6_ave,nu'ba,nu'ba,n u 'b/b a,,Constenla2005,59,,^ n u 'b a $,Cogui,b,n u b a,a b n u
138,Arhuaco-6_ave-1,,Arhuaco,6_ave,si'sio,si'sio,s i 's/s i o,,Constenla2005,52,,^ s i 's i o $,Arhuaco,a,s i s i o,i o s
139,Malayo-6_ave-1,,Malayo,6_ave,suɾi,suɾi,s u ɾ i,,Constenla2005,63,,^ s u ɾ i $,Malayo,c,s u r i,i r s u
140,Chimila-6_ave-1,,Chimila,6_ave,ki:tikkwi,ki:tikkwi,k iː t i k w i,,Constenla2005,64,,^ k i: t i kk w i $,Chimila,,k i t i k w i,i k t w
141,Chibcha-6_ave-1,,Chibcha,6_ave,sue,sue,s u e,,Constenla2005,59,,^ s u e $,Chibcha,b,s u e,e s u
142,CentralTunebo-6_ave-1,,CentralTunebo,6_ave,ɾu'wasiɾa,ɾu'wasiɾa,ɾ u 'w/w a s i ɾ a,,Constenla2005,59,,^ ɾ u 'w a s i ɾ a $,CentralTunebo,b,r u w a s i r a,a i r s u w
143,Bari-6_ave-1,,Bari,6_ave,daníkbi,daníkbi,d a n í/i k b i,,Constenla2005,65,,^ d a n í k b i $,Bari,,d a n i i k b i,a b d i k n
144,LencaSalvador-7_bailar-1,,LencaSalvador,7_bailar,uli,uli,u l i,,Constenla2005,66,,^ u l i $,LencaSalvador,a,u l i,i l u
145,LencaHonduras-7_bailar-1,,LencaHonduras,7_bailar,ul,ul,u l,,Constenla2005,66,,^ u l $,LencaHonduras,a,u l,l u
146,Cacaopera-7_bailar-1,,Cacaopera,7_bailar,jaukan,jaukan,j a u k a n,,Constenla2005,67,,^ j a u k a n $,Cacaopera,,y a u k a n,a k n u y
147,Mayangna-7_bailar-1,,Mayangna,7_bailar,ubu,ubu,u b u,,Constenla2005,68,,^ u b u $,Mayangna,,u b u,b u
148,Ulwa-7_bailar-1,,Ulwa,7_bailar,aba:,aba:,a b aː,,Constenla2005,69,,^ a b a: $,Ulwa,,a b a,a b
149,Miskito-7_bailar-1,,Miskito,7_bailar,dans pul,dans pul,d a n s + p u l,,Constenla2005,70,,^ d a n s + p u l $,Miskito,,d a n s  p u l, a d l n p s u
150,Pech-7_bailar-1,,Pech,7_bailar,wiʔ,wiʔ,w i ʔ,,Constenla2005,71,,^ w i ʔ $,Pech,b,w i 7,7 i w
151,Rama-7_bailar-1,,Rama,7_bailar,katapaik,katapaik,k a t a p a i k,,Constenla2005,72,,^ k a t a p a i k $,Rama,,k a t a p a i k,a i k p t
152,MalekuJaika-7_bailar-1,,MalekuJaika,7_bailar,ɬi:la,ɬi:la,ɬ iː l a,,Constenla2005,73,,^ ɬ i: l a $,MalekuJaika,,L i l a,L a i l
153,Boruca-7_bailar-1,,Boruca,7_bailar,kuìk,kuìk,k u ì/i k,,Constenla2005,71,,^ k u ì k $,Boruca,b,k u i i k,i k u
154,Bribri-7_bailar-1,,Bribri,7_bailar,kaɺʊ́tɪ,kaɺʊ́tɪ,k a ɺ ʊ́/ʊ t ɪ,,Constenla2005,74,,^ k a ɺ ʊ́ t ɪ $,Bribri,c,k a L u u t i,L a i k t u
155,Cabecar-7_bailar-1,,Cabecar,7_bailar,kaɺʊ́tɪ,kaɺʊ́tɪ,k a ɺ ʊ́/ʊ t ɪ,,Constenla2005,74,,^ k a ɺ ʊ́ t ɪ $,Cabecar,c,k a L u u t i,L a i k t u
